"",136.000
35001.7951,4.2286E+02
35001.7986,4.2300E+02
35001.8021,4.2313E+02
35001.8056,4.2326E+02
35001.8090,4.2340E+02
35001.8125,4.2353E+02
35001.8160,4.2366E+02
35001.8194,4.2380E+02
35001.8229,4.2393E+02
35001.8264,4.2407E+02
35001.8299,4.2420E+02
35001.8333,4.2433E+02
35001.8368,4.2386E+02
35001.8403,4.2338E+02
35001.8437,4.2291E+02
35001.8472,4.2244E+02
35001.8507,4.2196E+02
35001.8542,4.2149E+02
35001.8576,4.2102E+02
35001.8611,4.2054E+02
35001.8646,4.2007E+02
35001.8681,4.1960E+02
35001.8715,4.1913E+02
35001.8750,4.1866E+02
35001.8785,4.1819E+02
35001.8819,4.1772E+02
35001.8854,4.1725E+02
35001.8889,4.1678E+02
35001.8924,4.1631E+02
35001.8958,4.1584E+02
35001.8993,4.1537E+02
35001.9028,4.1490E+02
35001.9062,4.1444E+02
35001.9097,4.1397E+02
35001.9132,4.1350E+02
35001.9167,4.1303E+02
35001.9201,4.1186E+02
35001.9236,4.1068E+02
35001.9271,4.0949E+02
35001.9306,4.0830E+02
35001.9340,4.0710E+02
35001.9375,4.0589E+02
35001.9410,4.0468E+02
35001.9444,4.0346E+02
35001.9479,4.0224E+02
35001.9514,4.0100E+02
35001.9549,3.9976E+02
35001.9583,3.9852E+02
35001.9618,3.9727E+02
35001.9653,3.9601E+02
35001.9687,3.9474E+02
35001.9722,3.9347E+02
35001.9757,3.9219E+02
35001.9792,3.9090E+02
35001.9826,3.8961E+02
35001.9861,3.8831E+02
35001.9896,3.8701E+02
35001.9931,3.8570E+02
35001.9965,3.8438E+02
35002.0000,3.8305E+02
35002.0035,3.8292E+02
35002.0069,3.8278E+02
35002.0104,3.8265E+02
35002.0139,3.8251E+02
35002.0174,3.8238E+02
35002.0208,3.8224E+02
35002.0243,3.8210E+02
35002.0278,3.8197E+02
35002.0312,3.8183E+02
35002.0347,3.8169E+02
35002.0382,3.8156E+02
35002.0417,3.8142E+02
35002.0451,3.8128E+02
35002.0486,3.8115E+02
35002.0521,3.8101E+02
35002.0556,3.8087E+02
35002.0590,3.8073E+02
35002.0625,3.8059E+02
35002.0660,3.8045E+02
35002.0694,3.8032E+02
35002.0729,3.8018E+02
35002.0764,3.8004E+02
35002.0799,3.7990E+02
35002.0833,3.7976E+02
35002.0868,3.7967E+02
35002.0903,3.7959E+02
35002.0937,3.7951E+02
35002.0972,3.7942E+02
35002.1007,3.7934E+02
35002.1042,3.7925E+02
35002.1076,3.7917E+02
35002.1111,3.7908E+02
35002.1146,3.7900E+02
35002.1181,3.7892E+02
35002.1215,3.7883E+02
35002.1250,3.7875E+02
35002.1285,3.7866E+02
35002.1319,3.7858E+02
35002.1354,3.7849E+02
35002.1389,3.7841E+02
35002.1424,3.7833E+02
35002.1458,3.7824E+02
35002.1493,3.7816E+02
35002.1528,3.7807E+02
35002.1562,3.7799E+02
35002.1597,3.7791E+02
35002.1632,3.7782E+02
35002.1667,3.7774E+02
35002.1701,3.7753E+02
35002.1736,3.7733E+02
35002.1771,3.7713E+02
35002.1806,3.7692E+02
35002.1840,3.7672E+02
35002.1875,3.7651E+02
35002.1910,3.7631E+02
35002.1944,3.7610E+02
35002.1979,3.7590E+02
35002.2014,3.7570E+02
35002.2049,3.7549E+02
35002.2083,3.7529E+02
35002.2118,3.7508E+02
35002.2153,3.7488E+02
35002.2187,3.7468E+02
35002.2222,3.7447E+02
35002.2257,3.7427E+02
35002.2292,3.7406E+02
35002.2326,3.7386E+02
