"",136.000
35001.7951,5.4567E+00
35001.7986,6.0893E+00
35001.8021,6.7341E+00
35001.8056,7.3841E+00
35001.8090,8.0343E+00
35001.8125,8.6814E+00
35001.8160,9.3225E+00
35001.8194,9.9561E+00
35001.8229,1.0581E+01
35001.8264,1.1195E+01
35001.8299,1.1798E+01
35001.8333,1.2388E+01
35001.8368,1.2060E+01
35001.8403,1.1737E+01
35001.8437,1.1416E+01
35001.8472,1.1099E+01
35001.8507,1.0787E+01
35001.8542,1.0479E+01
35001.8576,1.0175E+01
35001.8611,9.8760E+00
35001.8646,9.5815E+00
35001.8681,9.2916E+00
35001.8715,9.0064E+00
35001.8750,8.7258E+00
35001.8785,8.4499E+00
35001.8819,8.1784E+00
35001.8854,7.9116E+00
35001.8889,7.6492E+00
35001.8924,7.3912E+00
35001.8958,7.1379E+00
35001.8993,6.8891E+00
35001.9028,6.6451E+00
35001.9062,6.4059E+00
35001.9097,6.1715E+00
35001.9132,5.9419E+00
35001.9167,5.7171E+00
35001.9201,6.2189E+00
35001.9236,6.7342E+00
35001.9271,7.2611E+00
35001.9306,7.7967E+00
35001.9340,8.3389E+00
35001.9375,8.8857E+00
35001.9410,9.4360E+00
35001.9444,9.9892E+00
35001.9479,1.0545E+01
35001.9514,1.1103E+01
35001.9549,1.1664E+01
35001.9583,1.2228E+01
35001.9618,1.2798E+01
35001.9653,1.3372E+01
35001.9687,1.3952E+01
35001.9722,1.4537E+01
35001.9757,1.5129E+01
35001.9792,1.5731E+01
35001.9826,1.6346E+01
35001.9861,1.6974E+01
35001.9896,1.7619E+01
35001.9931,1.8281E+01
35001.9965,1.8964E+01
35002.0000,1.9667E+01
35002.0035,2.0390E+01
35002.0069,2.1096E+01
35002.0104,2.1771E+01
35002.0139,2.2418E+01
35002.0174,2.3040E+01
35002.0208,2.3634E+01
35002.0243,2.4200E+01
35002.0278,2.4737E+01
35002.0312,2.5249E+01
35002.0347,2.5736E+01
35002.0382,2.6202E+01
35002.0417,2.6650E+01
35002.0451,2.7083E+01
35002.0486,2.7504E+01
35002.0521,2.7917E+01
35002.0556,2.8325E+01
35002.0590,2.8732E+01
35002.0625,2.9141E+01
35002.0660,2.9556E+01
35002.0694,2.9981E+01
35002.0729,3.0418E+01
35002.0764,3.0873E+01
35002.0799,3.1349E+01
35002.0833,3.1849E+01
35002.0868,3.2155E+01
35002.0903,3.2468E+01
35002.0937,3.2789E+01
35002.0972,3.3119E+01
35002.1007,3.3456E+01
35002.1042,3.3800E+01
35002.1076,3.4152E+01
35002.1111,3.4512E+01
35002.1146,3.4880E+01
35002.1181,3.5256E+01
35002.1215,3.5639E+01
35002.1250,3.6031E+01
35002.1285,3.6430E+01
35002.1319,3.6836E+01
35002.1354,3.7250E+01
35002.1389,3.7672E+01
35002.1424,3.8101E+01
35002.1458,3.8537E+01
35002.1493,3.8980E+01
35002.1528,3.9431E+01
35002.1562,3.9888E+01
35002.1597,4.0352E+01
35002.1632,4.0823E+01
35002.1667,4.1300E+01
35002.1701,3.9454E+01
35002.1736,3.7624E+01
35002.1771,3.5801E+01
35002.1806,3.3989E+01
35002.1840,3.2191E+01
35002.1875,3.0406E+01
35002.1910,2.8633E+01
35002.1944,2.6873E+01
35002.1979,2.5128E+01
35002.2014,2.3398E+01
35002.2049,2.1685E+01
35002.2083,1.9993E+01
35002.2118,1.8322E+01
35002.2153,1.6676E+01
35002.2187,1.5058E+01
35002.2222,1.3476E+01
35002.2257,1.1937E+01
35002.2292,1.0455E+01
35002.2326,9.0513E+00
35002.2361,7.7583E+00
35002.2396,6.6315E+00
35002.2431,5.7566E+00
35002.2465,5.2474E+00
35002.2500,5.1979E+00
35002.2535,5.4212E+00
35002.2569,5.7001E+00
35002.2604,6.0121E+00
35002.2639,6.3388E+00
35002.2674,6.6661E+00
35002.2708,6.9832E+00
35002.2743,7.2819E+00
35002.2778,7.5559E+00
35002.2812,7.8007E+00
35002.2847,8.0127E+00
35002.2882,8.1893E+00
35002.2917,8.3282E+00
35002.2951,8.4280E+00
35002.2986,8.4875E+00
35002.3021,8.5056E+00
35002.3056,8.4816E+00
35002.3090,8.4151E+00
35002.3125,8.3055E+00
35002.3160,8.1527E+00
35002.3194,7.9563E+00
35002.3229,7.7161E+00
35002.3264,7.4319E+00
35002.3299,7.1036E+00
35002.3333,6.7312E+00
35002.3368,6.2930E+00
35002.3403,5.8716E+00
35002.3437,5.4652E+00
35002.3472,5.0740E+00
35002.3507,4.6983E+00
35002.3542,4.3383E+00
35002.3576,3.9937E+00
35002.3611,3.6646E+00
35002.3646,3.3511E+00
35002.3681,3.0535E+00
35002.3715,2.7720E+00
35002.3750,2.5074E+00
35002.3785,2.2602E+00
35002.3819,2.0314E+00
35002.3854,1.8220E+00
35002.3889,1.6332E+00
35002.3924,1.4666E+00
35002.3958,1.3234E+00
35002.3993,1.2047E+00
35002.4028,1.1112E+00
35002.4062,1.0421E+00
35002.4097,9.9537E-01
35002.4132,9.6752E-01
35002.4167,9.5400E-01
35002.4201,9.0486E-01
35002.4236,8.5813E-01
35002.4271,8.1359E-01
35002.4306,7.7100E-01
35002.4340,7.3010E-01
35002.4375,6.9067E-01
35002.4410,6.5247E-01
35002.4444,6.1525E-01
35002.4479,5.7871E-01
35002.4514,5.4258E-01
35002.4549,5.0654E-01
35002.4583,4.7032E-01
35002.4618,4.3361E-01
35002.4653,3.9614E-01
35002.4687,3.5763E-01
35002.4722,3.1783E-01
35002.4757,2.7648E-01
35002.4792,2.3336E-01
35002.4826,1.8823E-01
35002.4861,1.4089E-01
35002.4896,9.1144E-02
35002.4931,3.8811E-02
35002.4965,-1.6280E-02
35002.5000,-7.4284E-02
35002.5035,-4.9477E-02
35002.5069,-2.3462E-02
35002.5104,3.3451E-03
35002.5139,3.0951E-02
35002.5174,5.9323E-02
35002.5208,8.8482E-02
35002.5243,1.1843E-01
35002.5278,1.4919E-01
35002.5312,1.8075E-01
35002.5347,2.1313E-01
35002.5382,2.4635E-01
35002.5417,2.8041E-01
35002.5451,3.1535E-01
35002.5486,3.5120E-01
35002.5521,3.8799E-01
35002.5556,4.2575E-01
35002.5590,4.6453E-01
35002.5625,5.0435E-01
35002.5660,5.4526E-01
35002.5694,5.8729E-01
35002.5729,6.3050E-01
35002.5764,6.7490E-01
35002.5799,7.2055E-01
35002.5833,7.6747E-01
