"",136.000
35001.7396,-3.3562E+02
35001.7431,-3.3561E+02
35001.7465,-3.3560E+02
35001.7500,-3.3559E+02
35001.7535,-3.3558E+02
35001.7569,-3.3557E+02
35001.7604,-3.3556E+02
35001.7639,-3.3555E+02
35001.7674,-3.3555E+02
35001.7708,-3.3555E+02
35001.7743,-3.3555E+02
35001.7778,-3.3556E+02
35001.7812,-3.3558E+02
35001.7847,-3.3560E+02
35001.7882,-3.3563E+02
35001.7917,-3.3566E+02
35001.7951,-3.3569E+02
35001.7986,-3.3572E+02
35001.8021,-3.3574E+02
35001.8056,-3.3576E+02
35001.8090,-3.3577E+02
35001.8125,-3.3579E+02
35001.8160,-3.3580E+02
35001.8194,-3.3581E+02
35001.8229,-3.3582E+02
35001.8264,-3.3583E+02
35001.8299,-3.3584E+02
35001.8333,-3.3586E+02
35001.8368,-3.3587E+02
35001.8403,-3.3589E+02
35001.8437,-3.3591E+02
35001.8472,-3.3593E+02
35001.8507,-3.3595E+02
35001.8542,-3.3597E+02
35001.8576,-3.3600E+02
35001.8611,-3.3602E+02
35001.8646,-3.3604E+02
35001.8681,-3.3606E+02
35001.8715,-3.3608E+02
35001.8750,-3.3611E+02
35001.8785,-3.3613E+02
35001.8819,-3.3615E+02
35001.8854,-3.3617E+02
35001.8889,-3.3620E+02
35001.8924,-3.3622E+02
35001.8958,-3.3624E+02
35001.8993,-3.3627E+02
35001.9028,-3.3629E+02
35001.9062,-3.3632E+02
35001.9097,-3.3634E+02
35001.9132,-3.3636E+02
35001.9167,-3.3638E+02
35001.9201,-3.3641E+02
35001.9236,-3.3643E+02
35001.9271,-3.3645E+02
35001.9306,-3.3647E+02
35001.9340,-3.3649E+02
35001.9375,-3.3651E+02
35001.9410,-3.3653E+02
35001.9444,-3.3655E+02
35001.9479,-3.3657E+02
35001.9514,-3.3658E+02
35001.9549,-3.3660E+02
35001.9583,-3.3661E+02
35001.9618,-3.3662E+02
35001.9653,-3.3663E+02
35001.9687,-3.3663E+02
35001.9722,-3.3663E+02
35001.9757,-3.3662E+02
35001.9792,-3.3661E+02
35001.9826,-3.3659E+02
35001.9861,-3.3657E+02
35001.9896,-3.3653E+02
35001.9931,-3.3649E+02
35001.9965,-3.3644E+02
35002.0000,-3.3638E+02
35002.0035,-3.3631E+02
35002.0069,-3.3624E+02
35002.0104,-3.3616E+02
35002.0139,-3.3608E+02
35002.0174,-3.3600E+02
35002.0208,-3.3592E+02
35002.0243,-3.3585E+02
35002.0278,-3.3577E+02
35002.0312,-3.3570E+02
35002.0347,-3.3564E+02
35002.0382,-3.3558E+02
35002.0417,-3.3552E+02
35002.0451,-3.3547E+02
35002.0486,-3.3542E+02
35002.0521,-3.3537E+02
35002.0556,-3.3533E+02
35002.0590,-3.3529E+02
35002.0625,-3.3525E+02
35002.0660,-3.3522E+02
35002.0694,-3.3519E+02
35002.0729,-3.3516E+02
35002.0764,-3.3513E+02
35002.0799,-3.3510E+02
35002.0833,-3.3507E+02
35002.0868,-3.3505E+02
35002.0903,-3.3503E+02
35002.0937,-3.3501E+02
35002.0972,-3.3498E+02
35002.1007,-3.3496E+02
35002.1042,-3.3494E+02
35002.1076,-3.3492E+02
35002.1111,-3.3490E+02
35002.1146,-3.3488E+02
35002.1181,-3.3486E+02
35002.1215,-3.3484E+02
35002.1250,-3.3482E+02
35002.1285,-3.3480E+02
35002.1319,-3.3478E+02
35002.1354,-3.3475E+02
35002.1389,-3.3473E+02
35002.1424,-3.3471E+02
35002.1458,-3.3468E+02
35002.1493,-3.3466E+02
35002.1528,-3.3463E+02
35002.1562,-3.3461E+02
35002.1597,-3.3458E+02
35002.1632,-3.3455E+02
35002.1667,-3.3453E+02
35002.1701,-3.3450E+02
35002.1736,-3.3447E+02
35002.1771,-3.3444E+02
35002.1806,-3.3442E+02
35002.1840,-3.3439E+02
35002.1875,-3.3437E+02
35002.1910,-3.3435E+02
35002.1944,-3.3433E+02
35002.1979,-3.3431E+02
35002.2014,-3.3429E+02
35002.2049,-3.3428E+02
35002.2083,-3.3427E+02
35002.2118,-3.3426E+02
35002.2153,-3.3425E+02
35002.2187,-3.3424E+02
35002.2222,-3.3424E+02
35002.2257,-3.3423E+02
35002.2292,-3.3423E+02
35002.2326,-3.3423E+02
35002.2361,-3.3423E+02
35002.2396,-3.3423E+02
35002.2431,-3.3424E+02
35002.2465,-3.3425E+02
35002.2500,-3.3426E+02
35002.2535,-3.3427E+02
35002.2569,-3.3429E+02
35002.2604,-3.3430E+02
35002.2639,-3.3432E+02
35002.2674,-3.3434E+02
35002.2708,-3.3436E+02
35002.2743,-3.3438E+02
35002.2778,-3.3440E+02
35002.2812,-3.3442E+02
35002.2847,-3.3445E+02
