"",136.000
35001.7951,1.0929E+01
35001.7986,1.2349E+01
35001.8021,1.3827E+01
35001.8056,1.5349E+01
35001.8090,1.6908E+01
35001.8125,1.8496E+01
35001.8160,2.0109E+01
35001.8194,2.1744E+01
35001.8229,2.3398E+01
35001.8264,2.5069E+01
35001.8299,2.6756E+01
35001.8333,2.8457E+01
35001.8368,2.7838E+01
35001.8403,2.7227E+01
35001.8437,2.6621E+01
35001.8472,2.6021E+01
35001.8507,2.5429E+01
35001.8542,2.4843E+01
35001.8576,2.4265E+01
35001.8611,2.3693E+01
35001.8646,2.3129E+01
35001.8681,2.2572E+01
35001.8715,2.2022E+01
35001.8750,2.1479E+01
35001.8785,2.0944E+01
35001.8819,2.0416E+01
35001.8854,1.9894E+01
35001.8889,1.9381E+01
35001.8924,1.8874E+01
35001.8958,1.8374E+01
35001.8993,1.7882E+01
35001.9028,1.7397E+01
35001.9062,1.6920E+01
35001.9097,1.6450E+01
35001.9132,1.5988E+01
35001.9167,1.5534E+01
35001.9201,1.7124E+01
35001.9236,1.8792E+01
35001.9271,2.0530E+01
35001.9306,2.2331E+01
35001.9340,2.4190E+01
35001.9375,2.6103E+01
35001.9410,2.8068E+01
35001.9444,3.0083E+01
35001.9479,3.2146E+01
35001.9514,3.4257E+01
35001.9549,3.6414E+01
35001.9583,3.8618E+01
35001.9618,4.0870E+01
35001.9653,4.3169E+01
35001.9687,4.5516E+01
35001.9722,4.7910E+01
35001.9757,5.0353E+01
35001.9792,5.2847E+01
35001.9826,5.5393E+01
35001.9861,5.7994E+01
35001.9896,6.0650E+01
35001.9931,6.3364E+01
35001.9965,6.6138E+01
35002.0000,6.8973E+01
35002.0035,6.7247E+01
35002.0069,6.5576E+01
35002.0104,6.3943E+01
35002.0139,6.2353E+01
35002.0174,6.0806E+01
35002.0208,5.9300E+01
35002.0243,5.7833E+01
35002.0278,5.6404E+01
35002.0312,5.5014E+01
35002.0347,5.3664E+01
35002.0382,5.2355E+01
35002.0417,5.1089E+01
35002.0451,4.9866E+01
35002.0486,4.8688E+01
35002.0521,4.7556E+01
35002.0556,4.6471E+01
35002.0590,4.5435E+01
35002.0625,4.4448E+01
35002.0660,4.3512E+01
35002.0694,4.2626E+01
35002.0729,4.1792E+01
35002.0764,4.1009E+01
35002.0799,4.0279E+01
35002.0833,3.9600E+01
35002.0868,3.9830E+01
35002.0903,4.0066E+01
35002.0937,4.0310E+01
35002.0972,4.0562E+01
35002.1007,4.0820E+01
35002.1042,4.1086E+01
35002.1076,4.1358E+01
35002.1111,4.1636E+01
35002.1146,4.1922E+01
35002.1181,4.2214E+01
35002.1215,4.2512E+01
35002.1250,4.2816E+01
35002.1285,4.3126E+01
35002.1319,4.3442E+01
35002.1354,4.3763E+01
35002.1389,4.4090E+01
35002.1424,4.4422E+01
35002.1458,4.4759E+01
35002.1493,4.5100E+01
35002.1528,4.5446E+01
35002.1562,4.5797E+01
35002.1597,4.6152E+01
35002.1632,4.6510E+01
35002.1667,4.6873E+01
35002.1701,4.4714E+01
35002.1736,4.2578E+01
35002.1771,4.0456E+01
35002.1806,3.8354E+01
35002.1840,3.6272E+01
35002.1875,3.4210E+01
35002.1910,3.2169E+01
35002.1944,3.0148E+01
35002.1979,2.8149E+01
35002.2014,2.6173E+01
35002.2049,2.4222E+01
35002.2083,2.2299E+01
35002.2118,2.0405E+01
35002.2153,1.8544E+01
35002.2187,1.6721E+01
35002.2222,1.4942E+01
35002.2257,1.3216E+01
35002.2292,1.1558E+01
35002.2326,9.9913E+00
35002.2361,8.5513E+00
35002.2396,7.2983E+00
35002.2431,6.3259E+00
35002.2465,5.7576E+00
35002.2500,5.6947E+00
35002.2535,6.0765E+00
35002.2569,6.5423E+00
35002.2604,7.0722E+00
35002.2639,7.6493E+00
35002.2674,8.2606E+00
35002.2708,8.8959E+00
35002.2743,9.5473E+00
35002.2778,1.0209E+01
35002.2812,1.0876E+01
35002.2847,1.1546E+01
35002.2882,1.2215E+01
35002.2917,1.2883E+01
35002.2951,1.3546E+01
35002.2986,1.4204E+01
35002.3021,1.4856E+01
35002.3056,1.5501E+01
35002.3090,1.6138E+01
35002.3125,1.6768E+01
35002.3160,1.7390E+01
35002.3194,1.8004E+01
35002.3229,1.8609E+01
35002.3264,1.9205E+01
35002.3299,1.9792E+01
35002.3333,2.0371E+01
35002.3368,1.9548E+01
35002.3403,1.8727E+01
35002.3437,1.7908E+01
35002.3472,1.7091E+01
35002.3507,1.6277E+01
35002.3542,1.5468E+01
35002.3576,1.4663E+01
35002.3611,1.3866E+01
35002.3646,1.3078E+01
35002.3681,1.2301E+01
35002.3715,1.1540E+01
35002.3750,1.0798E+01
35002.3785,1.0080E+01
35002.3819,9.3948E+00
35002.3854,8.7504E+00
