"",136.000
35001.7951,0.0000E+00
35001.7986,0.0000E+00
35001.8021,0.0000E+00
35001.8056,0.0000E+00
35001.8090,0.0000E+00
35001.8125,0.0000E+00
35001.8160,0.0000E+00
35001.8194,0.0000E+00
35001.8229,0.0000E+00
35001.8264,0.0000E+00
35001.8299,0.0000E+00
35001.8333,0.0000E+00
35001.8368,0.0000E+00
35001.8403,0.0000E+00
35001.8437,0.0000E+00
35001.8472,0.0000E+00
35001.8507,0.0000E+00
35001.8542,0.0000E+00
35001.8576,0.0000E+00
35001.8611,0.0000E+00
35001.8646,0.0000E+00
35001.8681,0.0000E+00
35001.8715,0.0000E+00
35001.8750,0.0000E+00
35001.8785,0.0000E+00
35001.8819,0.0000E+00
35001.8854,0.0000E+00
35001.8889,0.0000E+00
35001.8924,0.0000E+00
35001.8958,0.0000E+00
35001.8993,0.0000E+00
35001.9028,0.0000E+00
35001.9062,0.0000E+00
35001.9097,0.0000E+00
35001.9132,0.0000E+00
35001.9167,0.0000E+00
35001.9201,0.0000E+00
35001.9236,0.0000E+00
35001.9271,0.0000E+00
35001.9306,0.0000E+00
35001.9340,0.0000E+00
35001.9375,0.0000E+00
35001.9410,0.0000E+00
35001.9444,0.0000E+00
35001.9479,0.0000E+00
35001.9514,0.0000E+00
35001.9549,0.0000E+00
35001.9583,0.0000E+00
35001.9618,0.0000E+00
35001.9653,0.0000E+00
35001.9687,0.0000E+00
35001.9722,0.0000E+00
35001.9757,0.0000E+00
35001.9792,0.0000E+00
35001.9826,0.0000E+00
35001.9861,0.0000E+00
35001.9896,0.0000E+00
35001.9931,0.0000E+00
35001.9965,0.0000E+00
35002.0000,0.0000E+00
35002.0035,0.0000E+00
35002.0069,0.0000E+00
35002.0104,0.0000E+00
35002.0139,0.0000E+00
35002.0174,0.0000E+00
35002.0208,0.0000E+00
35002.0243,0.0000E+00
35002.0278,0.0000E+00
35002.0312,0.0000E+00
35002.0347,0.0000E+00
35002.0382,0.0000E+00
35002.0417,0.0000E+00
35002.0451,0.0000E+00
35002.0486,0.0000E+00
35002.0521,0.0000E+00
35002.0556,0.0000E+00
35002.0590,0.0000E+00
35002.0625,0.0000E+00
35002.0660,0.0000E+00
35002.0694,0.0000E+00
35002.0729,0.0000E+00
35002.0764,0.0000E+00
35002.0799,0.0000E+00
35002.0833,4.7694E-06
35002.0868,4.9838E-02
35002.0903,9.9671E-02
35002.0937,1.4950E-01
35002.0972,1.9934E-01
35002.1007,2.4917E-01
35002.1042,2.9900E-01
35002.1076,3.4884E-01
35002.1111,3.9867E-01
35002.1146,4.4850E-01
35002.1181,4.9833E-01
35002.1215,5.4817E-01
35002.1250,5.9800E-01
35002.1285,6.4783E-01
35002.1319,6.9767E-01
35002.1354,7.4750E-01
35002.1389,7.9733E-01
35002.1424,8.4716E-01
35002.1458,8.9700E-01
35002.1493,9.4683E-01
35002.1528,9.9666E-01
35002.1562,1.0465E+00
35002.1597,1.0963E+00
35002.1632,1.1462E+00
35002.1667,1.1960E+00
35002.1701,1.2707E+00
35002.1736,1.3455E+00
35002.1771,1.4202E+00
35002.1806,1.4950E+00
35002.1840,1.5697E+00
35002.1875,1.6445E+00
35002.1910,1.7192E+00
35002.1944,1.7940E+00
35002.1979,1.8687E+00
35002.2014,1.9435E+00
35002.2049,2.0182E+00
35002.2083,2.0930E+00
35002.2118,2.1677E+00
35002.2153,2.2425E+00
35002.2187,2.3172E+00
35002.2222,2.3920E+00
35002.2257,2.4667E+00
35002.2292,2.5415E+00
35002.2326,2.6162E+00
35002.2361,2.6910E+00
35002.2396,2.7657E+00
35002.2431,2.8405E+00
35002.2465,2.9152E+00
35002.2500,2.9900E+00
35002.2535,5.2574E+00
35002.2569,7.5249E+00
35002.2604,9.7923E+00
35002.2639,1.2060E+01
35002.2674,1.4327E+01
35002.2708,1.6595E+01
35002.2743,1.8862E+01
35002.2778,2.1129E+01
35002.2812,2.3397E+01
35002.2847,2.5664E+01
35002.2882,2.7932E+01
35002.2917,3.0199E+01
35002.2951,3.2467E+01
35002.2986,3.4734E+01
35002.3021,3.7001E+01
35002.3056,3.9269E+01
35002.3090,4.1536E+01
35002.3125,4.3804E+01
35002.3160,4.6071E+01
35002.3194,4.8339E+01
35002.3229,5.0606E+01
35002.3264,5.2873E+01
35002.3299,5.5141E+01
35002.3333,5.7408E+01
35002.3368,5.8180E+01
35002.3403,5.8953E+01
35002.3437,5.9725E+01
35002.3472,6.0498E+01
35002.3507,6.1270E+01
35002.3542,6.2043E+01
35002.3576,6.2815E+01
35002.3611,6.3587E+01
35002.3646,6.4360E+01
35002.3681,6.5132E+01
35002.3715,6.5905E+01
35002.3750,6.6677E+01
35002.3785,6.7449E+01
35002.3819,6.8222E+01
35002.3854,6.8994E+01
35002.3889,6.9767E+01
35002.3924,7.0539E+01
35002.3958,7.1311E+01
35002.3993,7.2084E+01
35002.4028,7.2856E+01
35002.4062,7.3629E+01
35002.4097,7.4401E+01
35002.4132,7.5174E+01
35002.4167,7.5946E+01
35002.4201,7.8886E+01
35002.4236,8.1826E+01
35002.4271,8.4766E+01
35002.4306,8.7706E+01
35002.4340,9.0647E+01
35002.4375,9.3587E+01
35002.4410,9.6527E+01
35002.4444,9.9467E+01
35002.4479,1.0241E+02
35002.4514,1.0535E+02
35002.4549,1.0829E+02
35002.4583,1.1123E+02
35002.4618,1.1417E+02
35002.4653,1.1711E+02
35002.4687,1.2005E+02
35002.4722,1.2299E+02
35002.4757,1.2593E+02
35002.4792,1.2887E+02
35002.4826,1.3181E+02
35002.4861,1.3475E+02
35002.4896,1.3769E+02
35002.4931,1.4063E+02
35002.4965,1.4357E+02
35002.5000,1.4651E+02
35002.5035,1.4492E+02
35002.5069,1.4332E+02
35002.5104,1.4173E+02
35002.5139,1.4013E+02
35002.5174,1.3854E+02
35002.5208,1.3694E+02
35002.5243,1.3535E+02
35002.5278,1.3375E+02
35002.5312,1.3216E+02
35002.5347,1.3056E+02
35002.5382,1.2897E+02
35002.5417,1.2737E+02
35002.5451,1.2578E+02
35002.5486,1.2418E+02
35002.5521,1.2259E+02
35002.5556,1.2100E+02
35002.5590,1.1940E+02
35002.5625,1.1781E+02
35002.5660,1.1621E+02
35002.5694,1.1462E+02
35002.5729,1.1302E+02
35002.5764,1.1143E+02
35002.5799,1.0983E+02
35002.5833,1.0824E+02
35002.5868,1.0390E+02
35002.5903,9.9567E+01
35002.5937,9.5231E+01
35002.5972,9.0896E+01
35002.6007,8.6560E+01
35002.6042,8.2225E+01
35002.6076,7.7889E+01
35002.6111,7.3554E+01
35002.6146,6.9218E+01
35002.6181,6.4883E+01
35002.6215,6.0547E+01
35002.6250,5.6212E+01
35002.6285,5.1877E+01
35002.6319,4.7541E+01
35002.6354,4.3206E+01
35002.6389,3.8870E+01
35002.6424,3.4535E+01
35002.6458,3.0199E+01
35002.6493,2.5864E+01
35002.6528,2.1528E+01
35002.6562,1.7193E+01
35002.6597,1.2857E+01
35002.6632,8.5219E+00
35002.6667,4.1864E+00
35002.6701,4.0116E+00
35002.6736,3.8372E+00
35002.6771,3.6628E+00
35002.6806,3.4883E+00
35002.6840,3.3139E+00
35002.6875,3.1395E+00
35002.6910,2.9651E+00
35002.6944,2.7907E+00
35002.6979,2.6163E+00
35002.7014,2.4418E+00
35002.7049,2.2674E+00
35002.7083,2.0930E+00
35002.7118,1.9186E+00
35002.7153,1.7442E+00
35002.7187,1.5698E+00
35002.7222,1.3953E+00
35002.7257,1.2209E+00
35002.7292,1.0465E+00
35002.7326,8.7209E-01
35002.7361,6.9767E-01
35002.7396,5.2325E-01
35002.7431,3.4883E-01
35002.7465,1.7442E-01
35002.7500,8.1869E-08
35002.7535,0.0000E+00
35002.7569,0.0000E+00
35002.7604,0.0000E+00
35002.7639,0.0000E+00
35002.7674,0.0000E+00
35002.7708,0.0000E+00
35002.7743,0.0000E+00
35002.7778,0.0000E+00
35002.7812,0.0000E+00
35002.7847,0.0000E+00
35002.7882,0.0000E+00
35002.7917,0.0000E+00
35002.7951,0.0000E+00
35002.7986,0.0000E+00
35002.8021,0.0000E+00
35002.8056,0.0000E+00
35002.8090,0.0000E+00
35002.8125,0.0000E+00
35002.8160,0.0000E+00
35002.8194,0.0000E+00
35002.8229,0.0000E+00
35002.8264,0.0000E+00
35002.8299,0.0000E+00
35002.8333,0.0000E+00
35002.8368,0.0000E+00
35002.8403,0.0000E+00
35002.8437,0.0000E+00
35002.8472,0.0000E+00
35002.8507,0.0000E+00
35002.8542,0.0000E+00
35002.8576,0.0000E+00
35002.8611,0.0000E+00
35002.8646,0.0000E+00
35002.8681,0.0000E+00
35002.8715,0.0000E+00
35002.8750,0.0000E+00
35002.8785,0.0000E+00
35002.8819,0.0000E+00
35002.8854,0.0000E+00
35002.8889,0.0000E+00
35002.8924,0.0000E+00
35002.8958,0.0000E+00
35002.8993,0.0000E+00
35002.9028,0.0000E+00
35002.9062,0.0000E+00
35002.9097,0.0000E+00
35002.9132,0.0000E+00
35002.9167,0.0000E+00
35002.9201,0.0000E+00
35002.9236,0.0000E+00
35002.9271,0.0000E+00
35002.9306,0.0000E+00
35002.9340,0.0000E+00
35002.9375,0.0000E+00
35002.9410,0.0000E+00
35002.9444,0.0000E+00
35002.9479,0.0000E+00
35002.9514,0.0000E+00
35002.9549,0.0000E+00
35002.9583,0.0000E+00
35002.9618,0.0000E+00
35002.9653,0.0000E+00
35002.9687,0.0000E+00
35002.9722,0.0000E+00
35002.9757,0.0000E+00
35002.9792,0.0000E+00
35002.9826,0.0000E+00
35002.9861,0.0000E+00
35002.9896,0.0000E+00
35002.9931,0.0000E+00
35002.9965,0.0000E+00
35003.0000,0.0000E+00
35003.0035,0.0000E+00
35003.0069,0.0000E+00
35003.0104,0.0000E+00
35003.0139,0.0000E+00
35003.0174,0.0000E+00
35003.0208,0.0000E+00
35003.0243,0.0000E+00
35003.0278,0.0000E+00
35003.0312,0.0000E+00
35003.0347,0.0000E+00
35003.0382,0.0000E+00
35003.0417,0.0000E+00
35003.0451,0.0000E+00
35003.0486,0.0000E+00
35003.0521,0.0000E+00
35003.0556,0.0000E+00
35003.0590,0.0000E+00
35003.0625,0.0000E+00
35003.0660,0.0000E+00
35003.0694,0.0000E+00
35003.0729,0.0000E+00
35003.0764,0.0000E+00
35003.0799,0.0000E+00
35003.0833,2.3780E-06
35003.0868,2.4919E-02
35003.0903,4.9835E-02
35003.0937,7.4752E-02
35003.0972,9.9668E-02
35003.1007,1.2458E-01
35003.1042,1.4950E-01
35003.1076,1.7442E-01
35003.1111,1.9933E-01
35003.1146,2.2425E-01
35003.1181,2.4917E-01
35003.1215,2.7408E-01
35003.1250,2.9900E-01
35003.1285,3.2392E-01
35003.1319,3.4883E-01
35003.1354,3.7375E-01
35003.1389,3.9867E-01
35003.1424,4.2358E-01
35003.1458,4.4850E-01
35003.1493,4.7342E-01
35003.1528,4.9833E-01
35003.1562,5.2325E-01
35003.1597,5.4816E-01
35003.1632,5.7308E-01
35003.1667,5.9800E-01
35003.1701,7.4749E-01
35003.1736,8.9699E-01
35003.1771,1.0465E+00
35003.1806,1.1960E+00
35003.1840,1.3455E+00
35003.1875,1.4950E+00
35003.1910,1.6445E+00
35003.1944,1.7940E+00
35003.1979,1.9435E+00
35003.2014,2.0930E+00
35003.2049,2.2425E+00
35003.2083,2.3920E+00
35003.2118,2.5415E+00
35003.2153,2.6910E+00
35003.2187,2.8405E+00
35003.2222,2.9900E+00
35003.2257,3.1395E+00
35003.2292,3.2890E+00
35003.2326,3.4385E+00
35003.2361,3.5880E+00
35003.2396,3.7375E+00
35003.2431,3.8870E+00
35003.2465,4.0365E+00
35003.2500,4.1860E+00
35003.2535,6.9767E+00
35003.2569,9.7674E+00
35003.2604,1.2558E+01
35003.2639,1.5349E+01
35003.2674,1.8139E+01
35003.2708,2.0930E+01
35003.2743,2.3721E+01
35003.2778,2.6511E+01
35003.2812,2.9302E+01
35003.2847,3.2093E+01
35003.2882,3.4883E+01
35003.2917,3.7674E+01
35003.2951,4.0465E+01
35003.2986,4.3255E+01
35003.3021,4.6046E+01
35003.3056,4.8837E+01
35003.3090,5.1628E+01
35003.3125,5.4418E+01
35003.3160,5.7209E+01
35003.3194,6.0000E+01
35003.3229,6.2790E+01
35003.3264,6.5581E+01
35003.3299,6.8372E+01
35003.3333,7.1162E+01
35003.3368,7.5548E+01
35003.3403,7.9933E+01
35003.3437,8.4318E+01
35003.3472,8.8704E+01
35003.3507,9.3089E+01
35003.3542,9.7474E+01
35003.3576,1.0186E+02
35003.3611,1.0624E+02
35003.3646,1.1063E+02
35003.3681,1.1502E+02
35003.3715,1.1940E+02
35003.3750,1.2379E+02
35003.3785,1.2817E+02
35003.3819,1.3256E+02
35003.3854,1.3694E+02
35003.3889,1.4133E+02
35003.3924,1.4571E+02
35003.3958,1.5010E+02
35003.3993,1.5448E+02
35003.4028,1.5887E+02
35003.4062,1.6325E+02
35003.4097,1.6764E+02
35003.4132,1.7202E+02
35003.4167,1.7641E+02
35003.4201,1.7915E+02
35003.4236,1.8189E+02
35003.4271,1.8463E+02
35003.4306,1.8737E+02
35003.4340,1.9011E+02
35003.4375,1.9285E+02
35003.4410,1.9560E+02
35003.4444,1.9834E+02
35003.4479,2.0108E+02
35003.4514,2.0382E+02
35003.4549,2.0656E+02
35003.4583,2.0930E+02
35003.4618,2.1204E+02
35003.4653,2.1478E+02
35003.4687,2.1752E+02
35003.4722,2.2026E+02
35003.4757,2.2300E+02
35003.4792,2.2574E+02
35003.4826,2.2849E+02
35003.4861,2.3123E+02
35003.4896,2.3397E+02
35003.4931,2.3671E+02
35003.4965,2.3945E+02
35003.5000,2.4219E+02
35003.5035,2.3746E+02
35003.5069,2.3272E+02
35003.5104,2.2799E+02
35003.5139,2.2325E+02
35003.5174,2.1852E+02
35003.5208,2.1378E+02
35003.5243,2.0905E+02
35003.5278,2.0432E+02
35003.5312,1.9958E+02
35003.5347,1.9485E+02
35003.5382,1.9011E+02
35003.5417,1.8538E+02
35003.5451,1.8065E+02
35003.5486,1.7591E+02
35003.5521,1.7118E+02
35003.5556,1.6644E+02
35003.5590,1.6171E+02
35003.5625,1.5697E+02
35003.5660,1.5224E+02
35003.5694,1.4751E+02
35003.5729,1.4277E+02
35003.5764,1.3804E+02
35003.5799,1.3330E+02
35003.5833,1.2857E+02
35003.5868,1.2334E+02
35003.5903,1.1810E+02
35003.5937,1.1287E+02
35003.5972,1.0764E+02
35003.6007,1.0241E+02
35003.6042,9.7175E+01
