t (1st col)	eps_abs [m-1] (2nd col)	z [m] (3rd row)
1
28400.000000	0.219
28401.000000	0.218
28402.000000	0.216
28403.000000	0.217
28404.000000	0.219
28405.000000	0.222
28406.000000	0.225
28407.000000	0.228
28408.000000	0.231
28409.000000	0.234
28410.000000	0.237
28411.000000	0.240
28412.000000	0.243
28413.000000	0.247
28414.000000	0.250
28415.000000	0.254
28416.000000	0.257
28417.000000	0.254
28418.000000	0.244
28419.000000	0.234
28420.000000	0.226
28421.000000	0.218
28422.000000	0.210
28423.000000	0.203
28424.000000	0.197
28425.000000	0.191
28426.000000	0.185
28427.000000	0.179
28428.000000	0.174
28429.000000	0.170
28430.000000	0.165
28431.000000	0.162
28432.000000	0.162
28433.000000	0.161
28434.000000	0.161
28435.000000	0.160
28436.000000	0.159
28437.000000	0.159
28438.000000	0.158
28439.000000	0.158
28440.000000	0.157
28441.000000	0.156
28442.000000	0.156
28443.000000	0.155
28444.000000	0.155
28445.000000	0.154
28446.000000	0.154
28447.000000	0.153
28448.000000	0.153
28449.000000	0.153
28450.000000	0.153
28451.000000	0.152
28452.000000	0.152
28453.000000	0.152
28454.000000	0.151
28455.000000	0.151
28456.000000	0.151
28457.000000	0.150
28458.000000	0.150
28459.000000	0.150
28460.000000	0.150
28461.000000	0.149
28462.000000	0.149
28463.000000	0.149
28464.000000	0.148
28465.000000	0.148
28466.000000	0.148
28467.000000	0.148
28468.000000	0.147
28469.000000	0.147
28470.000000	0.147
28471.000000	0.147
28472.000000	0.146
28473.000000	0.146
28474.000000	0.146
28475.000000	0.145
28476.000000	0.145
28477.000000	0.145
28478.000000	0.145
28479.000000	0.144
28480.000000	0.144
28481.000000	0.144
28482.000000	0.144
28483.000000	0.143
28484.000000	0.143
28485.000000	0.143
28486.000000	0.143
28487.000000	0.142
28488.000000	0.142
28489.000000	0.142
28490.000000	0.142
28491.000000	0.141
28492.000000	0.141
28493.000000	0.141
28494.000000	0.141
28495.000000	0.140
28496.000000	0.140
28497.000000	0.140
28498.000000	0.140
28499.000000	0.139
28500.000000	0.139
28501.000000	0.139
28502.000000	0.139
28503.000000	0.138
28504.000000	0.138
28505.000000	0.138
28506.000000	0.138
28507.000000	0.137
28508.000000	0.137
28509.000000	0.137
28510.000000	0.136
28511.000000	0.136
28512.000000	0.136
28513.000000	0.135
28514.000000	0.135
28515.000000	0.134
28516.000000	0.134
28517.000000	0.134
28518.000000	0.133
28519.000000	0.133
28520.000000	0.133
28521.000000	0.132
28522.000000	0.132
28523.000000	0.132
28524.000000	0.131
28525.000000	0.131
28526.000000	0.130
28527.000000	0.130
28528.000000	0.130
28529.000000	0.129
28530.000000	0.129
28531.000000	0.129
28532.000000	0.128
28533.000000	0.128
28534.000000	0.128
28535.000000	0.127
28536.000000	0.127
28537.000000	0.126
28538.000000	0.125
28539.000000	0.124
28540.000000	0.124
28541.000000	0.123
28542.000000	0.122
28543.000000	0.121
28544.000000	0.121
28545.000000	0.120
28546.000000	0.119
28547.000000	0.118
28548.000000	0.118
28549.000000	0.117
28550.000000	0.116
28551.000000	0.115
28552.000000	0.113
28553.000000	0.112
28554.000000	0.111
28555.000000	0.109
28556.000000	0.108
28557.000000	0.107
28558.000000	0.106
28559.000000	0.105
28560.000000	0.104
28561.000000	0.103
28562.000000	0.102
28563.000000	0.101
28564.000000	0.101
28565.000000	0.103
28566.000000	0.105
28567.000000	0.106
28568.000000	0.108
28569.000000	0.111
28570.000000	0.113
28571.000000	0.115
28572.000000	0.117
28573.000000	0.120
28574.000000	0.122
28575.000000	0.125
28576.000000	0.128
28577.000000	0.131
28578.000000	0.133
28579.000000	0.136
28580.000000	0.139
28581.000000	0.142
28582.000000	0.145
28583.000000	0.148
28584.000000	0.152
28585.000000	0.155
28586.000000	0.159
28587.000000	0.163
28588.000000	0.167
28589.000000	0.171
28590.000000	0.175
28591.000000	0.180
28592.000000	0.185
28593.000000	0.190
28594.000000	0.196
28595.000000	0.202
