t	u (m/s)	v (m/s)	Tair (°C)	Fsol (W/m2)	vap (mbar)	cloud coverage
16074.083447	0.072992	1.110080	3.708193	0.000000	7.401639	0.985814
16074.125115	-0.454402	0.405862	2.809965	0.000000	7.104982	0.978730
16074.166784	0.065171	0.185181	3.200000	0.000000	7.300000	0.971647
16074.208452	0.921036	1.175518	3.306820	0.000000	7.401705	0.964563
16074.250120	0.071232	-0.380845	3.987909	0.000000	7.496545	0.957480
16074.291788	1.567844	-0.346911	4.000000	0.017494	7.498251	0.950396
16074.333456	0.290065	-0.129986	4.201772	6.017715	7.600000	0.943312
16074.375125	-0.602019	0.553820	4.496413	32.358738	7.701794	0.936229
16074.416793	0.021299	0.497527	5.003632	38.090792	7.901816	0.929145
16074.458461	0.014007	-0.506954	5.700000	80.147038	8.098162	0.922062
16074.500129	0.849952	0.712433	6.000000	41.167411	7.900000	0.914978
16074.541797	0.610912	-0.096142	5.703765	42.000000	8.100000	0.907894
16074.583466	1.151504	-2.562415	5.803809	26.809559	8.101904	0.900811
16074.625134	0.320953	1.861422	6.094220	21.903672	8.400000	0.893727
16074.666802	-0.610295	-1.243399	5.701949	0.000000	8.403897	0.886644
16074.708470	-0.167562	-1.799413	5.511825	0.000000	8.696058	0.879560
16074.750138	-5.829377	-6.426818	6.498007	0.000000	8.298007	0.872476
16074.791807	0.633655	2.301576	5.697985	0.000000	8.402015	0.865393
16074.833475	-1.321069	-0.131791	4.704075	0.000000	8.200000	0.858309
16074.875143	-1.227497	1.052328	5.093822	0.000000	8.100000	0.851226
16074.916811	0.706716	0.428301	4.410408	0.000000	7.997918	0.844142
16074.958479	0.435060	1.299285	4.295793	0.000000	7.800000	0.837058
16075.000148	0.272771	1.099025	4.482993	0.000000	7.895748	0.829926
16075.041816	3.234532	-2.912386	4.502148	0.000000	7.700000	0.809092
16075.083484	-0.317770	-1.281825	4.802170	0.000000	7.897830	0.788258
16075.125152	-1.400763	0.517506	5.189039	0.000000	7.902192	0.767424
16075.166820	1.176722	1.625557	5.300000	0.000000	7.900000	0.746590
16075.208489	2.102184	0.833902	6.202237	0.000000	6.695527	0.725756
16075.250157	1.329763	2.854756	5.790965	0.000000	6.802259	0.704922
16075.291825	0.551341	-0.444781	5.300000	0.022809	7.795438	0.684087
16075.333493	-2.349668	0.234904	5.200000	13.953940	7.800000	0.663253
16075.375161	-0.637498	0.610147	4.909301	25.232515	8.000000	0.642419
16075.416830	-2.100563	-0.903542	5.400000	78.718324	7.897653	0.621585
16075.458498	0.690311	1.436768	6.004739	132.000000	7.300000	0.600751
16075.500166	-1.880780	0.225105	5.802392	122.334822	7.600000	0.579917
16075.541834	-3.230338	-0.453203	6.197586	181.779369	7.390345	0.559083
16075.583502	-1.840343	0.542582	6.000000	100.265363	7.009743	0.538249
16075.625171	-1.912615	-0.541196	4.209832	25.926259	7.000000	0.517415
16075.666839	0.960409	1.558147	2.509921	2.925595	6.604960	0.496581
16075.708507	1.162576	0.756069	3.489991	0.000000	5.800000	0.475746
16075.750175	0.378294	1.553081	2.707573	0.000000	6.194951	0.454912
