t (1st col)	eps_abs [m-1] (2nd col)	z [m] (3rd row)
33954	0.136	0.136
33975	0.114	0.114
33989	0.124	0.124
34003	0.098	0.098
34017	0.079	0.079
34031	0.110	0.110
34045	0.475	0.475
34066	0.178	0.178
34080	0.274	0.274
34093	0.285	0.285
34108	0.475	0.475
34122	0.158	0.158
34136	0.119	0.119
34150	0.204	0.204
34164	0.259	0.259
34185	0.365	0.365
34199	0.570	0.570
34213	0.356	0.356
34227	0.356	0.356
34248	0.238	0.238
34262	0.204	0.204
34276	0.178	0.178
34290	0.158	0.158
34304	0.143	0.143
34318	0.143	0.143
34340	0.143	0.143
34355	0.238	0.238
34367	0.119	0.119
34381	0.090	0.090
34395	0.143	0.143
34409	0.089	0.089
34429	0.238	0.238
34444	0.178	0.178
34458	0.331	0.331
34472	0.356	0.356
34486	0.158	0.158
34500	0.475	0.475
34520	0.216	0.216
34535	0.331	0.331
34549	0.365	0.365
34563	0.356	0.356
34577	0.297	0.297
34592	0.570	0.570
34612	0.204	0.204
34626	0.204	0.204
34641	0.178	0.178
34654	0.150	0.150
34668	0.176	0.176
34682	0.114	0.114
34712	0.110	0.110
34724	0.119	0.119
34738	0.130	0.130
34753	0.164	0.164
34766	0.119	0.119
34780	0.168	0.168
34794	0.475	0.475
34808	0.238	0.238
34822	0.356	0.356
34836	0.570	0.570
34857	0.297	0.297
34871	0.475	0.475
34885	0.285	0.285
34899	0.713	0.713
34913	0.713	0.713
34927	0.419	0.419
34948	0.419	0.419
34962	0.317	0.317
34976	0.317	0.317
34990	0.259	0.259
35004	0.150	0.150
35018	0.230	0.230
35032	0.136	0.136
35046	0.130	0.130
35074	0.143	0.143
35088	0.150	0.150
35102	0.130	0.130
35116	0.114	0.114
35130	0.120	0.120
35144	0.121	0.121
35158	0.168	0.168
35172	0.285	0.285
35186	0.570	0.570
35200	0.356	0.356
35222	0.432	0.432
35234	0.475	0.475
35249	0.407	0.407
35277	0.475	0.475
35305	0.620	0.620
35348	0.230	0.230
35361	0.185	0.185
35375	0.324	0.324
35389	0.226	0.226
35403	0.168	0.168
35417	0.119	0.119
35438	0.130	0.130
35452	0.125	0.125
35467	0.143	0.143
35480	0.155	0.155
35494	0.158	0.158
35508	0.204	0.204
35522	0.445	0.445
35537	0.356	0.356
35551	0.365	0.365
35564	0.375	0.375
35585	0.475	0.475
35599	0.419	0.419
35613	0.838	0.838
35627	0.713	0.713
35648	0.570	0.570
35662	0.679	0.679
35683	0.274	0.274
35697	0.223	0.223
35711	0.238	0.238
35725	0.242	0.242
35739	0.178	0.178
35753	0.147	0.147
35767	0.143	0.143
35781	0.122	0.122
35802	0.104	0.104
35816	0.098	0.098
35830	0.092	0.092
35844	0.153	0.153
35858	0.134	0.134
35872	0.838	0.838
35893	0.279	0.279
35907	0.291	0.291
35921	0.365	0.365
35949	0.178	0.178
35963	0.324	0.324
35977	0.475	0.475
36012	0.460	0.460
36026	0.396	0.396
36040	0.475	0.475
36054	0.331	0.331
36075	0.259	0.259
36089	0.317	0.317
36103	0.250	0.250
36117	0.219	0.219
36131	0.274	0.274
36145	0.195	0.195
36167	0.226	0.226
36180	0.172	0.172
36194	0.158	0.158
36208	0.158	0.158
