z	u	v	T	S	k	eps
-0.0	0	0	5.1	0	3.0E-06	5.0E-10
-1.5	0	0	5.1	0	3.0E-06	5.0E-10
-3.5	0	0	5.1	0	3.0E-06	5.0E-10
-5.5	0	0	5.1	0	3.0E-06	5.0E-10
-8.5	0	0	5.1	0	3.0E-06	5.0E-10
-10.5	0	0	5.1	0	3.0E-06	5.0E-10
-15.5	0	0	5.1	0	3.0E-06	5.0E-10
-20.5	0	0	5.1	0	3.0E-06	5.0E-10
-30.5	0	0	5.1	0	3.0E-06	5.0E-10
-50.5	0	0	5.1	0	3.0E-06	5.0E-10
-100.5	0	0	5.0	0	3.0E-06	5.0E-10
-150.5	0	0	4.6	0	3.0E-06	5.0E-10
-200.5	0	0	4.5	0	3.0E-06	5.0E-10
-230.5	0	0	4.4	0	3.0E-06	5.0E-10
-250.5	0	0	4.4	0	3.0E-06	5.0E-10
