35031.6667  2.5578E-12  7.3074E-11  8.1327E-11
35032.0000  2.5706E-12  1.2583E-10  1.3298E-10
35032.3333  2.5820E-12  1.0998E-10  1.8150E-10
35032.6667  2.5921E-12  3.8799E-11  6.7574E-11
35033.0000  2.5998E-12  1.2352E-10  1.3063E-10
35033.3333  2.6268E-12  1.0174E-10  1.5822E-10
35033.6667  2.6390E-12  2.0425E-11  3.0926E-12
35034.0000  2.6319E-12  5.1010E-10  1.4141E-09
35034.3333  2.6166E-12  1.5710E-11  2.4724E-11
35034.6667  2.6177E-12  1.0769E-12  7.6002E-11
35035.0000  2.6499E-12  1.1862E-12  5.4447E-11
35035.3333  2.6590E-12  1.8057E-12  6.3536E-12
35035.6667  2.6624E-12  3.8147E-12  8.6305E-11
35036.0000  2.6753E-12  4.7996E-12  3.4680E-11
35036.3333  2.6924E-12  4.9780E-12  1.1720E-11
35036.6667  2.7056E-12  5.9612E-12  2.1652E-10
35037.0000  2.7167E-12  7.1160E-12  1.0847E-10
35037.3333  2.7222E-12  8.2007E-12  3.1829E-10
35037.6667  2.7246E-12  2.2103E-09  8.1473E-09
35038.0000  2.7199E-12  2.3851E-09  6.8345E-09
35038.3333  2.7049E-12  1.2288E-09  3.5293E-09
35038.6667  2.6872E-12  3.6227E-12  2.5033E-11
35039.0000  2.6952E-12  1.6708E-09  6.1683E-09
35039.3333  2.6920E-12  1.6070E-09  4.3801E-09
35039.6667  2.6410E-12  4.1316E-12  8.6365E-12
35040.0000  2.6672E-12  5.0392E-12  6.5792E-11
35040.3333  2.6760E-12  1.3458E-12  4.3891E-11
35040.6667  2.6878E-12  1.3889E-12  1.3268E-10
35041.0000  2.7200E-12  1.6347E-12  8.0765E-11
35041.3333  2.7451E-12  2.8279E-12  3.9615E-12
35041.6667  2.7475E-12  3.3459E-12  4.3363E-11
35042.0000  2.7594E-12  3.7887E-12  2.2684E-11
35042.3333  2.7785E-12  3.7149E-12  2.8045E-11
35042.6667  2.7917E-12  4.7526E-12  4.2592E-11
35043.0000  2.7976E-12  5.4162E-12  4.5638E-11
35043.3333  2.8003E-12  4.5627E-10  1.4920E-09
35043.6667  2.7942E-12  4.6088E-10  1.4687E-09
35044.0000  2.7897E-12  2.2425E-12  2.0891E-11
35044.3333  2.7911E-12  6.3763E-13  4.2826E-11
35044.6667  2.8047E-12  1.3992E-12  6.6711E-09
35045.0000  2.8150E-12  7.5185E-12  2.4658E-09
35045.3333  2.7974E-12  5.1676E-10  2.5331E-09
35045.6667  2.7632E-12  1.1640E-10  1.1070E-09
35046.0000  2.7243E-12  1.2541E-09  3.6257E-09
35046.3333  2.6712E-12  1.7254E-11  2.8658E-11
35046.6667  2.6364E-12  1.2582E-12  8.3978E-11
35047.0000  2.6636E-12  1.8971E-12  5.8854E-11
35047.3333  2.6472E-12  9.6529E-10  2.3834E-09
35047.6667  2.6098E-12  8.2754E-10  2.3044E-09
35048.0000  2.5730E-12  1.7208E-09  4.6828E-09
35048.3333  2.4899E-12  2.3391E-09  5.7635E-09
35048.6667  2.3945E-12  3.5058E-09  8.0632E-09
35049.0000  2.3635E-12  6.7546E-09  1.9728E-08
35049.3333  2.3735E-12  5.6729E-09  1.6884E-08
35049.6667  2.3880E-12  1.2854E-09  3.6978E-09
35050.0000  2.4665E-12  2.1159E-09  5.8097E-09
35050.3333  2.5123E-12  4.2079E-10  9.6612E-10
35050.6667  2.5784E-12  4.5103E-12  8.8185E-11
35051.0000  2.7162E-12  7.3952E-12  1.3182E-10
35051.3333  2.8279E-12  2.7514E-11  1.1025E-09
35051.6667  2.9131E-12  1.9414E-12  3.4919E-10
35052.0000  2.9785E-12  7.0689E-12  9.0443E-11
35052.3333  3.0168E-12  1.1429E-11  8.4531E-12
35052.6667  3.0340E-12  1.3359E-09  3.3942E-09
35053.0000  3.0411E-12  2.5485E-09  6.7235E-09
35053.3333  3.0150E-12  5.3156E-09  1.4995E-08
35053.6667  3.0106E-12  1.6561E-09  4.7211E-09
35054.0000  3.0357E-12  4.6273E-09  1.3082E-08
35054.3333  3.0628E-12  2.7169E-09  7.6684E-09
35054.6667  3.0897E-12  1.2716E-09  3.6327E-09
35055.0000  3.1208E-12  2.4658E-09  6.2139E-09
35055.3333  3.1530E-12  1.6639E-09  3.6660E-09
35055.6667  3.1828E-12  1.3160E-11  2.4797E-10
35056.0000  3.2115E-12  8.5174E-10  2.0505E-09
35056.3333  3.2401E-12  3.7421E-10  8.5806E-10
35056.6667  3.2665E-12  4.1197E-12  1.3628E-10
35057.0000  3.2910E-12  6.6721E-12  6.9848E-11
35057.3333  3.3156E-12  7.4523E-12  6.0927E-11
35057.6667  3.3395E-12  4.6553E-12  1.3487E-10
35058.0000  3.3610E-12  8.8037E-12  4.7277E-09
35058.3333  3.3796E-12  1.4824E-11  7.6670E-10
35058.6667  3.3954E-12  2.1585E-10  6.5029E-09
35059.0000  3.4088E-12  2.9500E-10  1.4968E-10
35059.3333  3.4202E-12  4.6448E-09  2.2371E-09
35059.6667  3.4299E-12  1.5139E-10  1.8378E-10
35060.0000  3.4382E-12  1.4433E-10  5.9830E-10
35060.3333  3.4453E-12  2.0051E-09  5.9265E-09
35060.6667  3.4514E-12  6.3100E-10  1.7882E-09
35061.0000  3.4566E-12  3.6548E-10  9.1516E-10
35061.3333  3.4609E-12  7.4027E-10  1.8173E-09
35061.6667  3.4646E-12  4.3039E-10  1.2474E-09
35062.0000  3.4672E-12  1.7272E-09  4.8731E-09
35062.3333  3.4688E-12  1.4760E-09  3.2994E-09
35062.6667  3.4693E-12  1.9438E-10  9.4530E-09
35063.0000  3.4688E-12  1.9947E-09  5.2459E-09
35063.3333  3.4674E-12  1.5632E-09  3.4894E-09
35063.6667  3.4658E-12  5.7181E-10  1.6552E-09
35064.0000  3.4640E-12  8.3269E-10  2.2442E-09
35064.3333  3.4619E-12  3.1655E-10  8.3055E-10
35064.6667  3.4595E-12  9.4795E-12  2.5148E-10
35065.0000  3.4567E-12  1.0600E-11  2.1351E-10
35065.3333  3.4540E-12  8.2735E-12  2.5771E-10
35065.6667  3.4518E-12  7.1030E-12  3.1087E-10
35066.0000  3.4508E-12  8.9172E-12  2.4611E-10
35066.3333  3.4509E-12  2.0800E-11  1.6124E-11
35066.6667  3.4517E-12  2.7954E-11  6.9248E-12
35067.0000  3.4530E-12  9.1030E-10  2.6049E-09
35067.3333  3.4547E-12  1.4924E-09  3.3806E-09
35067.6667  3.4564E-12  2.2348E-11  1.4674E-11
35068.0000  3.4577E-12  5.9826E-10  1.5763E-09
35068.3333  3.4581E-12  2.2827E-10  5.1174E-10
35068.6667  3.4577E-12  6.2510E-12  2.6148E-10
35069.0000  3.4567E-12  2.1359E-11  7.9138E-11
35069.3333  3.4551E-12  9.0954E-11  2.1244E-10
35069.6667  3.4536E-12  1.0550E-11  1.6195E-10
35070.0000  3.4528E-12  5.5636E-10  1.6636E-09
35070.3333  3.4523E-12  1.1183E-09  2.9175E-09
35070.6667  3.4521E-12  1.1160E-11  1.8563E-10
35071.0000  3.4522E-12  7.3934E-10  2.0392E-09
35071.3333  3.4516E-12  9.7145E-10  2.4736E-09
35071.6667  3.4510E-12  1.0796E-11  1.9290E-10
35072.0000  3.4505E-12  4.2450E-10  1.1559E-09
35072.3333  3.4496E-12  9.1024E-11  1.9342E-10
35072.6667  3.4490E-12  4.9043E-12  2.4350E-10
35073.0000  3.4490E-12  3.8472E-12  2.3720E-10
35073.3333  3.4492E-12  2.5040E-12  2.6089E-10
35073.6667  3.4499E-12  3.6050E-12  2.4549E-10
35074.0000  3.4512E-12  4.3573E-12  1.9538E-10
35074.3333  3.4531E-12  5.5346E-12  1.7085E-10
35074.6667  3.4553E-12  5.8646E-12  1.9974E-10
35075.0000  3.4577E-12  7.7058E-12  1.3715E-10
35075.3333  3.4600E-12  1.1246E-11  6.6322E-11
35075.6667  3.4623E-12  1.4282E-11  7.1701E-11
35076.0000  3.4645E-12  1.7972E-11  3.5358E-11
35076.3333  3.4665E-12  8.7829E-12  2.3282E-10
35076.6667  3.4684E-12  2.0807E-11  1.1387E-10
35077.0000  3.4702E-12  1.0805E-11  2.8654E-10
35077.3333  3.4719E-12  6.1770E-11  4.3598E-10
35077.6667  3.4735E-12  5.3245E-11  3.1352E-10
35078.0000  3.4752E-12  1.0780E-10  4.1103E-10
35078.3333  3.4768E-12  1.2293E-10  4.0237E-10
35078.6667  3.4784E-12  1.1856E-10  3.6536E-10
35079.0000  3.4800E-12  1.2867E-10  3.8696E-10
