         1    -136.000      -1.000         NaN
35001.0000  0.0000E+00  0.0000E+00  0.0000E+00
35001.3333  6.0365E-06  1.5748E-07  1.5000E-07
35001.6667  6.4677E-06  1.5000E-07  1.5000E-07
35002.0000  7.4423E-06  1.5000E-07  1.5000E-07
35002.3333  7.4709E-06  1.5000E-07  1.5000E-07
35002.6667  7.5482E-06  1.5000E-07  1.5000E-07
35003.0000  7.6374E-06  1.5000E-07  1.5000E-07
35003.3333  7.7541E-06  1.5000E-07  1.5000E-07
35003.6667  7.8695E-06  1.5000E-07  1.5000E-07
35004.0000  8.2679E-06  1.5000E-07  1.5000E-07
35004.3333  8.2730E-06  1.5000E-07  1.5000E-07
35004.6667  8.3112E-06  1.5000E-07  1.5000E-07
35005.0000  8.3509E-06  1.5000E-07  1.5000E-07
35005.3333  8.3946E-06  1.5000E-07  1.5000E-07
35005.6667  8.4477E-06  1.5000E-07  1.5000E-07
35006.0000  8.5026E-06  1.5000E-07  1.5000E-07
35006.3333  8.7355E-06  1.5000E-07  1.5000E-07
35006.6667  8.7376E-06  1.5000E-07  1.5000E-07
35007.0000  8.7659E-06  1.5000E-07  1.5000E-07
35007.3333  8.7956E-06  1.5000E-07  1.5000E-07
35007.6667  8.8307E-06  1.5000E-07  1.5000E-07
35008.0000  8.8654E-06  1.5000E-07  1.5000E-07
35008.3333  9.0424E-06  1.5000E-07  1.5000E-07
35008.6667  9.0314E-06  1.5000E-07  1.5000E-07
35009.0000  9.0521E-06  1.5000E-07  3.2347E-04
35009.3333  9.0725E-06  1.5000E-07  9.7792E-05
35009.6667  9.0954E-06  1.5000E-07  1.5000E-07
35010.0000  9.1226E-06  1.5000E-07  1.6060E-03
35010.3333  9.1455E-06  1.5000E-07  2.9727E-07
35010.6667  9.2687E-06  1.5000E-07  1.5000E-07
35011.0000  9.2583E-06  1.5000E-07  1.5000E-07
35011.3333  9.2734E-06  1.5000E-07  1.5000E-07
35011.6667  9.2890E-06  1.5000E-07  1.5000E-07
35012.0000  9.3039E-06  1.5000E-07  3.0002E-07
35012.3333  9.3186E-06  1.2753E-04  4.5578E-04
35012.6667  9.3399E-06  1.5000E-07  1.5000E-07
35013.0000  9.3560E-06  2.0053E-04  5.2583E-04
35013.3333  9.4310E-06  6.0433E-04  5.4387E-04
35013.6667  9.4214E-06  8.4414E-04  6.0153E-04
35014.0000  9.4225E-06  7.5360E-04  4.5283E-04
35014.3333  9.4414E-06  3.7176E-04  3.1243E-04
35014.6667  9.4710E-06  1.5000E-07  1.5000E-07
35015.0000  9.4828E-06  1.5000E-07  1.5000E-07
35015.3333  9.4985E-06  8.6406E-05  2.4697E-04
35015.6667  9.5119E-06  1.5000E-07  1.5000E-07
35016.0000  9.5217E-06  1.5000E-07  6.8261E-07
35016.3333  9.5311E-06  1.0162E-03  5.1891E-04
35016.6667  9.5460E-06  1.5000E-07  1.5000E-07
35017.0000  9.5756E-06  1.5000E-07  1.9515E-04
35017.3333  9.5897E-06  1.2113E-03  5.7630E-04
