"",0.160,0.480,0.800,1.120,1.440,1.760,2.080,2.400,2.720,3.040,3.360,3.680,4.000,4.320,4.640,4.960,5.280,5.600,5.920,6.240,6.560,6.880,7.200,7.520,7.840,8.160,8.480,8.800,9.120,9.440,9.760,10.080,10.400,10.720,11.040,11.360,11.680,12.000,12.320,12.640,12.960,13.280,13.600,13.920,14.240,14.560,14.880,15.200,15.520,15.840
16071.4000,1.304325-168,1.064219-160,1.630380-156,2.635245-152,3.518944-148,1.847217-145,9.648993-143,4.947299-140,2.543329-137,1.429416-134,8.908483-131,1.568990-126,2.844014-122,5.288134-118,1.742278-113,6.096818-109,2.248674-104,3.136881-100,1.663735E-97,8.768914E-95,4.641419E-92,2.449777E-89,1.288937E-86,6.757911E-84,3.529394E-81,1.835303E-78,9.533725E-76,4.924988E-73,2.528561E-70,1.289329E-67,6.524116E-65,3.272879E-62,1.626036E-59,7.989068E-57,3.875122E-54,1.851816E-51,8.695754E-49,3.999283E-46,1.793579E-43,7.800521E-41,3.276590E-38,2.521462E-35,4.346793E-31,7.781394E-27,1.335785E-22,1.091984E-18,3.536270E-16,1.651557E-13,1.629219E-09,1.555802E-05
16071.4500,1.622100-167,1.296284-159,1.944507-155,3.076044-151,4.017775-147,2.074733-144,1.059201-141,5.304976-139,2.663260-136,1.514119-133,9.206742-130,1.581220-125,2.793213-121,5.057979-117,1.621836-112,5.519192-108,1.977940-103,2.678141E-99,1.382506E-96,7.059629E-94,3.616360E-91,1.845152E-88,9.373168E-86,4.738500E-83,2.382776E-80,1.191183E-77,5.938815E-75,2.939196E-72,1.442902E-69,7.020179E-67,3.381650E-64,1.610919E-61,7.579365E-59,3.516283E-56,1.605433E-53,7.197497E-51,3.160005E-48,1.354342E-45,5.644476E-43,2.277949E-40,8.914337E-38,7.380357E-35,1.159090E-30,1.873955E-26,2.871493E-22,2.068726E-18,5.872677E-16,2.745701E-13,2.321845E-09,1.866600E-05
16071.5000,1.622100-167,1.296284-159,1.944507-155,3.076044-151,4.017775-147,2.074733-144,1.059201-141,5.304976-139,2.663260-136,1.514119-133,9.206742-130,1.581220-125,2.793213-121,5.057979-117,1.621836-112,5.519192-108,1.977940-103,2.678141E-99,1.382506E-96,7.059629E-94,3.616360E-91,1.845152E-88,9.373168E-86,4.738500E-83,2.382776E-80,1.191183E-77,5.938815E-75,2.939196E-72,1.442902E-69,7.020179E-67,3.381650E-64,1.610919E-61,7.579365E-59,3.516283E-56,1.605433E-53,7.197497E-51,3.160005E-48,1.354342E-45,5.644476E-43,2.277949E-40,8.914337E-38,7.380357E-35,1.159090E-30,1.873955E-26,2.871493E-22,2.068726E-18,5.872677E-16,2.745701E-13,2.321845E-09,1.866600E-05
16071.5500,1.639197-166,1.283526-158,1.886018-154,2.921235-150,3.733833-146,1.897465-143,9.472185-141,4.636501-138,2.274457-135,1.304781-132,7.744330-129,1.297622-124,2.235029-120,3.943644-116,1.231403-111,4.077836-107,1.420963-102,1.868869E-98,9.397290E-96,4.653302E-93,2.309210E-90,1.140198E-87,5.598934E-85,2.732837E-82,1.325131E-79,6.379234E-77,3.058276E-74,1.453188E-71,6.838027E-69,3.183320E-66,1.464495E-63,6.649687E-61,2.975948E-58,1.310394E-55,5.665978E-53,2.400342E-50,9.937575E-48,4.008903E-45,1.570457E-42,5.953125E-40,2.194819E-37,1.869209E-34,2.698208E-30,3.983548E-26,5.529124E-22,3.580457E-18,9.151318E-16,4.222040E-13,3.132856E-09,2.186645E-05
16071.6000,1.639197-166,1.283526-158,1.886018-154,2.921235-150,3.733833-146,1.897465-143,9.472185-141,4.636501-138,2.274457-135,1.304781-132,7.744330-129,1.297622-124,2.235029-120,3.943644-116,1.231403-111,4.077836-107,1.420963-102,1.868869E-98,9.397290E-96,4.653302E-93,2.309210E-90,1.140198E-87,5.598934E-85,2.732837E-82,1.325131E-79,6.379234E-77,3.058276E-74,1.453188E-71,6.838027E-69,3.183320E-66,1.464495E-63,6.649687E-61,2.975948E-58,1.310394E-55,5.665978E-53,2.400342E-50,9.937575E-48,4.008903E-45,1.570457E-42,5.953125E-40,2.194819E-37,1.869209E-34,2.698208E-30,3.983548E-26,5.529124E-22,3.580457E-18,9.151318E-16,4.222040E-13,3.132856E-09,2.186645E-05
16071.6500,1.403602-165,1.077304-157,1.551272-153,2.353591-149,2.945154-145,1.473473-142,7.195995-140,3.444200-137,1.651971-134,9.543554-132,5.532036-128,9.048299-124,1.520481-119,2.615841-115,7.959406-111,2.566772-106,8.703559-102,1.112852E-97,5.455543E-95,2.622252E-92,1.262006E-89,6.037413E-87,2.869544E-84,1.354247E-81,6.342097E-79,2.945225E-76,1.360377E-73,6.219624E-71,2.812092E-68,1.256036E-65,5.535675E-63,2.404123E-60,1.027412E-57,4.312829E-55,1.774810E-52,7.144193E-50,2.805926E-47,1.072220E-44,3.972920E-42,1.422196E-39,4.957280E-37,4.253186E-34,5.686312E-30,7.737330E-26,9.840431E-22,5.809007E-18,1.358598E-15,6.135340E-13,4.060212E-09,2.501363E-05
16071.7000,1.403602-165,1.077304-157,1.551272-153,2.353591-149,2.945154-145,1.473473-142,7.195995-140,3.444200-137,1.651971-134,9.543554-132,5.532036-128,9.048299-124,1.520481-119,2.615841-115,7.959406-111,2.566772-106,8.703559-102,1.112852E-97,5.455543E-95,2.622252E-92,1.262006E-89,6.037413E-87,2.869544E-84,1.354247E-81,6.342097E-79,2.945225E-76,1.360377E-73,6.219624E-71,2.812092E-68,1.256036E-65,5.535675E-63,2.404123E-60,1.027412E-57,4.312829E-55,1.774810E-52,7.144193E-50,2.805926E-47,1.072220E-44,3.972920E-42,1.422196E-39,4.957280E-37,4.253186E-34,5.686312E-30,7.737330E-26,9.840431E-22,5.809007E-18,1.358598E-15,6.135340E-13,4.060212E-09,2.501363E-05
16071.7500,1.048086-164,7.888285-157,1.113574-152,1.655661-148,2.029236-144,9.999067-142,4.779659-139,2.238100-136,1.050251-133,6.100236-131,3.455353-127,5.520091-123,9.055457-119,1.520006-114,4.510141-110,1.417441-105,4.680865-101,5.823622E-97,2.785918E-94,1.301148E-91,6.079642E-89,2.821369E-86,1.299643E-83,5.938836E-81,2.690288E-78,1.207246E-75,5.382394E-73,2.372606E-70,1.033049E-67,4.438007E-65,1.878865E-62,7.827954E-60,3.204905E-57,1.287101E-54,5.060249E-52,1.943217E-49,7.270250E-47,2.642235E-44,9.294302E-42,3.151312E-39,1.040988E-36,8.907681E-34,1.110179E-29,1.402860E-25,1.649570E-21,8.968247E-18,1.939998E-15,8.540428E-13,5.104068E-09,2.816682E-05
16071.8000,1.048086-164,7.888285-157,1.113574-152,1.655661-148,2.029236-144,9.999067-142,4.779659-139,2.238100-136,1.050251-133,6.100236-131,3.455353-127,5.520091-123,9.055457-119,1.520006-114,4.510141-110,1.417441-105,4.680865-101,5.823622E-97,2.785918E-94,1.301148E-91,6.079642E-89,2.821369E-86,1.299643E-83,5.938836E-81,2.690288E-78,1.207246E-75,5.382394E-73,2.372606E-70,1.033049E-67,4.438007E-65,1.878865E-62,7.827954E-60,3.204905E-57,1.287101E-54,5.060249E-52,1.943217E-49,7.270250E-47,2.642235E-44,9.294302E-42,3.151312E-39,1.040988E-36,8.907681E-34,1.110179E-29,1.402860E-25,1.649570E-21,8.968247E-18,1.939998E-15,8.540428E-13,5.104068E-09,2.816682E-05
16071.8500,6.969153-164,5.145504-156,7.124100-152,1.038434-147,1.247157-143,6.055076-141,2.834410-138,1.299147-135,5.968199-133,3.480691-130,1.927653-126,3.009629-122,4.822823-118,7.903738-114,2.288567-109,7.014842-105,2.257899-100,2.735751E-96,1.278260E-93,5.806764E-91,2.637037E-88,1.188482E-85,5.312515E-83,2.353715E-80,1.032868E-77,4.485762E-75,1.933723E-72,8.233598E-70,3.459241E-67,1.432442E-64,5.838903E-62,2.339543E-59,9.200857E-57,3.545024E-54,1.335396E-51,4.906731E-49,1.753874E-46,6.079275E-44,2.035338E-41,6.551710E-39,2.056365E-36,1.745842E-33,2.039496E-29,2.408311E-25,2.636818E-21,1.330505E-17,2.682973E-15,1.149328E-12,6.266895E-09,3.138846E-05
