"",0.000,0.320,0.640,0.960,1.280,1.600,1.920,2.240,2.560,2.880,3.200,3.520,3.840,4.160,4.480,4.800,5.120,5.440,5.760,6.080,6.400,6.720,7.040,7.360,7.680,8.000,8.320,8.640,8.960,9.280,9.600,9.920,10.240,10.560,10.880,11.200,11.520,11.840,12.160,12.480,12.800,13.120,13.440,13.760,14.080,14.400,14.720,15.040,15.360,15.680,16.000
16071.4000,0.000000E+00,0.000000E+00,1.395335-315,4.478638-307,2.055912-297,5.724836-292,1.562031-286,4.104926-281,1.000011-275,2.869210-271,3.966055-264,1.198817-255,3.843072-247,7.500685-239,7.671527-230,8.913950-221,3.204919-211,1.641836-201,4.644256-196,1.290138-190,3.614542-185,1.006933-179,2.787445-174,7.662355-169,2.089929-163,5.651194-158,1.524925-152,4.069348-147,1.072633-141,2.788822-136,7.140431-131,1.796911-125,4.435178-120,1.070592-114,2.518723-109,5.751479-104,1.268139E-98,2.682124E-93,5.393921E-88,1.017015E-82,9.340751E-78,2.639476E-73,7.250390E-65,2.292393E-56,1.313161E-47,1.984821E-38,1.205878E-33,1.271671E-29,9.771521E-22,8.793167E-14,0.000000E+00
16071.4500,0.000000E+00,9.189621-322,1.984537-313,6.101983-305,2.663540-295,7.221170-290,1.882050-284,4.718032-279,1.057488-273,3.219445-269,4.235619-262,1.217382-253,3.706305-245,6.860053-237,6.645463-228,7.302674-219,2.479332-209,1.192206-199,3.206423-194,8.360717-189,2.193960-183,5.711414-178,1.473821-172,3.766568-167,9.524054-162,2.380140-156,5.916175-151,1.449059-145,3.492117-140,8.266015-135,1.917961-129,4.352215-124,9.633990-119,2.073398-113,4.321852-108,8.685879-103,1.674117E-97,3.074816E-92,5.340018E-87,8.646434E-82,6.011964E-77,2.261979E-72,5.151833E-64,1.329197E-55,6.067231E-47,7.079778E-38,2.906954E-33,3.514636E-29,1.983101E-21,1.265384E-13,0.000000E+00
16071.5000,0.000000E+00,9.189621-322,1.984537-313,6.101983-305,2.663540-295,7.221170-290,1.882050-284,4.718032-279,1.057488-273,3.219445-269,4.235619-262,1.217382-253,3.706305-245,6.860053-237,6.645463-228,7.302674-219,2.479332-209,1.192206-199,3.206423-194,8.360717-189,2.193960-183,5.711414-178,1.473821-172,3.766568-167,9.524054-162,2.380140-156,5.916175-151,1.449059-145,3.492117-140,8.266015-135,1.917961-129,4.352215-124,9.633990-119,2.073398-113,4.321852-108,8.685879-103,1.674117E-97,3.074816E-92,5.340018E-87,8.646434E-82,6.011964E-77,2.261979E-72,5.151833E-64,1.329197E-55,6.067231E-47,7.079778E-38,2.906954E-33,3.514636E-29,1.983101E-21,1.265384E-13,0.000000E+00
16071.5500,0.000000E+00,8.916403-320,1.866683-311,5.503012-303,2.286311-293,6.039278-288,1.504953-282,3.602152-277,7.460498-272,2.390810-267,2.996580-260,8.197255-252,2.372558-243,4.169133-235,3.829796-226,3.985260-217,1.279434-207,5.783695-198,1.481255-192,3.631924-187,8.944280-182,2.180573-176,5.257888-171,1.252615-165,2.945075-160,6.825011-155,1.568601-149,3.541497-144,7.841287-139,1.699288-133,3.596334-128,7.414163-123,1.484850-117,2.878750-112,5.381631-107,9.657589-102,1.655141E-96,2.693204E-91,4.132258E-86,5.884636E-81,3.326074E-76,1.451105E-71,2.790223E-63,6.004848E-55,2.249120E-46,2.106993E-37,6.438958E-33,8.309852E-29,3.608627E-21,1.735834E-13,0.000000E+00
16071.6000,0.000000E+00,8.916403-320,1.866683-311,5.503012-303,2.286311-293,6.039278-288,1.504953-282,3.602152-277,7.460498-272,2.390810-267,2.996580-260,8.197255-252,2.372558-243,4.169133-235,3.829796-226,3.985260-217,1.279434-207,5.783695-198,1.481255-192,3.631924-187,8.944280-182,2.180573-176,5.257888-171,1.252615-165,2.945075-160,6.825011-155,1.568601-149,3.541497-144,7.841287-139,1.699288-133,3.596334-128,7.414163-123,1.484850-117,2.878750-112,5.381631-107,9.657589-102,1.655141E-96,2.693204E-91,4.132258E-86,5.884636E-81,3.326074E-76,1.451105E-71,2.790223E-63,6.004848E-55,2.249120E-46,2.106993E-37,6.438958E-33,8.309852E-29,3.608627E-21,1.735834E-13,0.000000E+00
16071.6500,0.000000E+00,6.279070-318,1.262681-309,3.571994-301,1.413863-291,3.641457-286,8.684636-281,1.986599-275,3.816774-270,1.279065-265,1.528907-258,3.985062-250,1.097816-241,1.833789-233,1.599557-224,1.578476-215,4.799429-206,2.043145-196,4.991567-191,1.153180-185,2.671000-180,6.112829-175,1.380876-169,3.075472-164,6.744783-159,1.454534-153,3.103097-148,6.486136-143,1.325854-137,2.644951-132,5.137221-127,9.688829-122,1.769351-116,3.117543-111,5.278971-106,8.552711-101,1.319151E-95,1.925953E-90,2.643593E-85,3.345536E-80,1.580192E-75,7.513227E-71,1.238605E-62,2.264814E-54,7.122828E-46,5.508666E-37,1.320443E-32,1.754649E-28,6.058570E-21,2.270888E-13,0.000000E+00
16071.7000,0.000000E+00,6.279070-318,1.262681-309,3.571994-301,1.413863-291,3.641457-286,8.684636-281,1.986599-275,3.816774-270,1.279065-265,1.528907-258,3.985062-250,1.097816-241,1.833789-233,1.599557-224,1.578476-215,4.799429-206,2.043145-196,4.991567-191,1.153180-185,2.671000-180,6.112829-175,1.380876-169,3.075472-164,6.744783-159,1.454534-153,3.103097-148,6.486136-143,1.325854-137,2.644951-132,5.137221-127,9.688829-122,1.769351-116,3.117543-111,5.278971-106,8.552711-101,1.319151E-95,1.925953E-90,2.643593E-85,3.345536E-80,1.580192E-75,7.513227E-71,1.238605E-62,2.264814E-54,7.122828E-46,5.508666E-37,1.320443E-32,1.754649E-28,6.058570E-21,2.270888E-13,0.000000E+00
16071.7500,0.000000E+00,3.366050-316,6.505705-308,1.767553-299,6.671923-290,1.676727-284,3.830985-279,8.383214-274,1.499396-268,5.225924-264,5.964150-257,1.482936-248,3.893184-240,6.190038-232,5.134305-223,4.812145-214,1.388005-204,5.574415-195,1.301467-189,2.838805-184,6.197826-179,1.334722-173,2.832078-168,5.913501-163,1.213453-157,2.443424-152,4.856751-147,9.436778-142,1.788917-136,3.301389-131,5.916728-126,1.026960-120,1.721273-115,2.775889-110,4.290151-105,6.325816-100,8.853399E-95,1.169181E-89,1.446253E-84,1.635693E-79,6.565928E-75,3.295510E-70,4.719052E-62,7.443331E-54,2.001205E-45,1.303832E-36,2.535008E-32,3.399656E-28,9.570644E-21,2.878339E-13,0.000000E+00
16071.8000,0.000000E+00,3.366050-316,6.505705-308,1.767553-299,6.671923-290,1.676727-284,3.830985-279,8.383214-274,1.499396-268,5.225924-264,5.964150-257,1.482936-248,3.893184-240,6.190038-232,5.134305-223,4.812145-214,1.388005-204,5.574415-195,1.301467-189,2.838805-184,6.197826-179,1.334722-173,2.832078-168,5.913501-163,1.213453-157,2.443424-152,4.856751-147,9.436778-142,1.788917-136,3.301389-131,5.916728-126,1.026960-120,1.721273-115,2.775889-110,4.290151-105,6.325816-100,8.853399E-95,1.169181E-89,1.446253E-84,1.635693E-79,6.565928E-75,3.295510E-70,4.719052E-62,7.443331E-54,2.001205E-45,1.303832E-36,2.535008E-32,3.399656E-28,9.570644E-21,2.878339E-13,0.000000E+00
16071.8500,0.000000E+00,1.432015-314,2.662285-306,6.952936-298,2.505243-288,6.147998-283,1.347062-277,2.822634-272,4.715071-267,1.701352-262,1.855982-255,4.407418-247,1.104087-238,1.673184-230,1.321573-221,1.178229-212,3.229167-203,1.225653-193,2.739487-188,5.653068-183,1.165864-177,2.368026-172,4.731355-167,9.287007-162,1.788294-156,3.372877-151,6.267603-146,1.136232-140,2.005494-135,3.438611-130,5.712907-125,9.171044-120,1.418309-114,2.105256-109,2.986980-104,4.032140E-99,5.150829E-94,6.187317E-89,6.932886E-84,7.038389E-79,2.433972E-74,1.265865E-69,1.591924E-61,2.193073E-53,5.112575E-45,2.849238E-36,4.602880E-32,6.156395E-28,1.442324E-20,3.573585E-13,0.000000E+00
