"",0.000,0.320,0.640,0.960,1.280,1.600,1.920,2.240,2.560,2.880,3.200,3.520,3.840,4.160,4.480,4.800,5.120,5.440,5.760,6.080,6.400,6.720,7.040,7.360,7.680,8.000,8.320,8.640,8.960,9.280,9.600,9.920,10.240,10.560,10.880,11.200,11.520,11.840,12.160,12.480,12.800,13.120,13.440,13.760,14.080,14.400,14.720,15.040,15.360,15.680,16.000
16072.6000,0.000000E+00,4.138779-305,5.992179-297,1.214054-288,3.240422-279,6.867225-274,1.151733-268,1.827358-263,2.033171-258,8.592492-254,7.040248-247,1.249802-238,2.329160-230,2.609939-222,1.517447-213,9.901282-205,1.975097-195,5.270291-186,9.055932-181,1.328633-175,1.932677-170,2.746724-165,3.808240-160,5.142458-155,6.751175-150,8.600177-145,1.068845-139,1.282695-134,1.482647-129,1.645987-124,1.749482-119,1.773911-114,1.709254-109,1.557616-104,1.335196E-99,1.069958E-94,7.957473E-90,5.445665E-85,3.391209E-80,1.803276E-75,2.864052E-71,1.571470E-66,9.731933E-59,6.458766E-51,7.019677E-43,1.671296E-34,1.074966E-30,1.265177E-26,1.149199E-19,1.055914E-12,0.000000E+00
16072.6500,0.000000E+00,5.853025-304,8.199890-296,1.606889-287,4.122461-278,8.576636-273,1.389103-267,2.124930-262,2.249291-257,9.643151-253,7.612927-246,1.301439-237,2.334385-229,2.515885-221,1.406244-212,8.815583-204,1.688510-194,4.306152-185,7.161051-180,1.006075-174,1.400111-169,1.901967-164,2.518186-159,3.244011-154,4.058741-149,4.922089-144,5.816907-139,6.629990-134,7.269179-129,7.644403-124,7.685449-119,7.359765-114,6.686423-109,5.735012-104,4.618299E-99,3.469651E-94,2.413994E-89,1.541897E-84,8.939135E-80,4.391855E-75,6.410892E-71,3.502526E-66,1.998509E-58,1.219474E-50,1.214380E-42,2.618137E-34,1.527572E-30,1.758555E-26,1.439282E-19,1.181920E-12,0.000000E+00
16072.7000,0.000000E+00,5.853025-304,8.199890-296,1.606889-287,4.122461-278,8.576636-273,1.389103-267,2.124930-262,2.249291-257,9.643151-253,7.612927-246,1.301439-237,2.334385-229,2.515885-221,1.406244-212,8.815583-204,1.688510-194,4.306152-185,7.161051-180,1.006075-174,1.400111-169,1.901967-164,2.518186-159,3.244011-154,4.058741-149,4.922089-144,5.816907-139,6.629990-134,7.269179-129,7.644403-124,7.685449-119,7.359765-114,6.686423-109,5.735012-104,4.618299E-99,3.469651E-94,2.413994E-89,1.541897E-84,8.939135E-80,4.391855E-75,6.410892E-71,3.502526E-66,1.998509E-58,1.219474E-50,1.214380E-42,2.618137E-34,1.527572E-30,1.758555E-26,1.439282E-19,1.181920E-12,0.000000E+00
16072.7500,0.000000E+00,7.585601-303,1.028975-294,1.951589-286,4.815929-277,9.841286-272,1.540374-266,2.273399-261,2.293218-256,9.959064-252,7.581613-245,1.249130-236,2.158309-228,2.239231-220,1.204338-211,7.260355-203,1.336554-193,3.261051-184,5.253504-179,7.075368-174,9.430546-169,1.225901-163,1.551763-158,1.909387-153,2.279534-148,2.635085-143,2.965181-138,3.214269-133,3.347590-128,3.339663-123,3.180822-118,2.881409-113,2.472425-108,1.999512-103,1.515502E-98,1.069596E-93,6.976785E-89,4.169028E-84,2.255829E-79,1.026741E-74,1.384045E-70,7.518817E-66,3.966229E-58,2.233022E-50,2.045074E-42,4.008158E-34,2.133760E-30,2.402585E-26,1.781115E-19,1.319526E-12,0.000000E+00
16072.8000,0.000000E+00,7.585601-303,1.028975-294,1.951589-286,4.815929-277,9.841286-272,1.540374-266,2.273399-261,2.293218-256,9.959064-252,7.581613-245,1.249130-236,2.158309-228,2.239231-220,1.204338-211,7.260355-203,1.336554-193,3.261051-184,5.253504-179,7.075368-174,9.430546-169,1.225901-163,1.551763-158,1.909387-153,2.279534-148,2.635085-143,2.965181-138,3.214269-133,3.347590-128,3.339663-123,3.180822-118,2.881409-113,2.472425-108,1.999512-103,1.515502E-98,1.069596E-93,6.976785E-89,4.169028E-84,2.255829E-79,1.026741E-74,1.384045E-70,7.518817E-66,3.966229E-58,2.233022E-50,2.045074E-42,4.008158E-34,2.133760E-30,2.402585E-26,1.781115E-19,1.319526E-12,0.000000E+00
16072.8500,0.000000E+00,9.067776-302,1.191691-293,2.188881-285,5.199181-276,1.044086-270,1.580383-265,2.251838-260,2.167945-255,9.524712-251,6.997357-244,1.111960-235,1.852250-227,1.851442-219,9.589794-211,5.564423-202,9.854151-193,2.302472-183,3.596463-178,4.647896-173,5.939440-168,7.396088-163,8.960479-158,1.054297-152,1.202438-147,1.326549-142,1.423090-137,1.469033-132,1.455250-127,1.379182-122,1.246226-117,1.069523-112,8.681362-108,6.631011-103,4.738853E-98,3.147930E-93,1.929006E-88,1.080755E-83,5.470791E-79,2.312509E-74,2.891132E-70,1.559941E-65,7.631003E-58,3.976868E-50,3.360987E-42,6.009680E-34,2.934416E-30,3.231945E-26,2.180382E-19,1.463869E-12,0.000000E+00
16072.9000,0.000000E+00,9.067776-302,1.191691-293,2.188881-285,5.199181-276,1.044086-270,1.580383-265,2.251838-260,2.167945-255,9.524712-251,6.997357-244,1.111960-235,1.852250-227,1.851442-219,9.589794-211,5.564423-202,9.854151-193,2.302472-183,3.596463-178,4.647896-173,5.939440-168,7.396088-163,8.960479-158,1.054297-152,1.202438-147,1.326549-142,1.423090-137,1.469033-132,1.455250-127,1.379182-122,1.246226-117,1.069523-112,8.681362-108,6.631011-103,4.738853E-98,3.147930E-93,1.929006E-88,1.080755E-83,5.470791E-79,2.312509E-74,2.891132E-70,1.559941E-65,7.631003E-58,3.976868E-50,3.360987E-42,6.009680E-34,2.934416E-30,3.231945E-26,2.180382E-19,1.463869E-12,0.000000E+00
16072.9500,0.000000E+00,1.005501-300,1.280981-292,2.279994-284,5.216210-275,1.029893-269,1.508520-264,2.076460-259,1.910769-254,8.482488-250,6.018057-243,9.230789-235,1.483480-226,1.429737-218,7.137625-210,3.989566-201,6.802466-192,1.523486-182,2.309249-177,2.866414-172,3.515173-167,4.197311-162,4.871953-157,5.487258-152,5.985157-147,6.308638-142,6.459555-137,6.357599-132,5.997894-127,5.407081-122,4.641608-117,3.779295-112,2.906310-107,2.099987-102,1.417443E-97,8.878278E-93,5.120904E-88,2.695561E-83,1.279308E-78,5.033722E-74,5.859762E-70,3.137259E-65,1.427244E-57,6.905264E-50,5.402159E-42,8.841478E-34,3.978602E-30,4.286762E-26,2.642202E-19,1.609278E-12,0.000000E+00
16073.0000,0.000000E+00,1.005501-300,1.280981-292,2.279994-284,5.216210-275,1.029893-269,1.508520-264,2.076460-259,1.910769-254,8.482488-250,6.018057-243,9.230789-235,1.483480-226,1.429737-218,7.137625-210,3.989566-201,6.802466-192,1.523486-182,2.309249-177,2.866414-172,3.515173-167,4.197311-162,4.871953-157,5.487258-152,5.985157-147,6.308638-142,6.459555-137,6.357599-132,5.997894-127,5.407081-122,4.641608-117,3.779295-112,2.906310-107,2.099987-102,1.417443E-97,8.878278E-93,5.120904E-88,2.695561E-83,1.279308E-78,5.033722E-74,5.859762E-70,3.137259E-65,1.427244E-57,6.905264E-50,5.402159E-42,8.841478E-34,3.978602E-30,4.286762E-26,2.642202E-19,1.609278E-12,0.000000E+00
16073.0500,0.000000E+00,1.039507-299,1.284471-291,2.216632-283,4.887633-274,9.492187-269,1.346251-263,1.791248-258,1.577641-253,7.069044-249,4.846639-242,7.180460-234,1.114137-225,1.036088-217,4.989106-209,2.688410-200,4.417002-191,9.490031-182,1.396975-176,1.666968-171,1.963568-166,2.250311-161,2.504921-156,2.703317-151,2.822809-146,2.845776-141,2.784205-136,2.615635-131,2.352860-126,2.020115-121,1.649578-116,1.276006-111,9.309743-107,6.373104-102,4.069409E-97,2.407496E-92,1.309426E-87,6.488313E-83,2.893010E-78,1.061891E-73,1.155162E-69,6.131993E-65,2.601092E-57,1.171484E-49,8.508030E-42,1.278419E-33,5.324687E-30,5.613285E-26,3.172708E-19,1.761861E-12,0.000000E+00
16073.1000,0.000000E+00,1.039507-299,1.284471-291,2.216632-283,4.887633-274,9.492187-269,1.346251-263,1.791248-258,1.577641-253,7.069044-249,4.846639-242,7.180460-234,1.114137-225,1.036088-217,4.989106-209,2.688410-200,4.417002-191,9.490031-182,1.396975-176,1.666968-171,1.963568-166,2.250311-161,2.504921-156,2.703317-151,2.822809-146,2.845776-141,2.784205-136,2.615635-131,2.352860-126,2.020115-121,1.649578-116,1.276006-111,9.309743-107,6.373104-102,4.069409E-97,2.407496E-92,1.309426E-87,6.488313E-83,2.893010E-78,1.061891E-73,1.155162E-69,6.131993E-65,2.601092E-57,1.171484E-49,8.508030E-42,1.278419E-33,5.324687E-30,5.613285E-26,3.172708E-19,1.761861E-12,0.000000E+00
16073.1500,0.000000E+00,1.006450-298,1.206854-290,2.020402-282,4.296255-273,8.210557-268,1.128207-262,1.451851-257,1.225473-252,5.536798-248,3.670855-241,5.256474-233,7.879867-225,7.075620-217,3.288753-208,1.709724-199,2.708822-190,5.587779-181,7.994042-176,9.177763-171,1.039290-165,1.144161-160,1.222507-155,1.265351-150,1.266135-145,1.222060-140,1.143607-135,1.026611-130,8.815066-126,7.216560-121,5.612430-116,4.129790-111,2.862571-106,1.859221-101,1.124766E-96,6.295162E-92,3.234169E-87,1.511300E-82,6.342960E-78,2.176275E-73,2.219661E-69,1.167477E-64,4.628652E-57,1.945452E-49,1.315131E-41,1.819349E-33,7.041558E-30,7.264228E-26,3.777312E-19,1.915406E-12,0.000000E+00
16073.2000,0.000000E+00,1.006450-298,1.206854-290,2.020402-282,4.296255-273,8.210557-268,1.128207-262,1.451851-257,1.225473-252,5.536798-248,3.670855-241,5.256474-233,7.879867-225,7.075620-217,3.288753-208,1.709724-199,2.708822-190,5.587779-181,7.994042-176,9.177763-171,1.039290-165,1.144161-160,1.222507-155,1.265351-150,1.266135-145,1.222060-140,1.143607-135,1.026611-130,8.815066-126,7.216560-121,5.612430-116,4.129790-111,2.862571-106,1.859221-101,1.124766E-96,6.295162E-92,3.234169E-87,1.511300E-82,6.342960E-78,2.176275E-73,2.219661E-69,1.167477E-64,4.628652E-57,1.945452E-49,1.315131E-41,1.819349E-33,7.041558E-30,7.264228E-26,3.777312E-19,1.915406E-12,0.000000E+00
16073.2500,0.000000E+00,9.162878-298,1.066792-289,1.733414-281,3.556756-272,6.691541-267,8.913375-262,1.109980-256,8.989918-252,4.091790-247,2.624934-240,3.635247-232,5.268379-224,4.570863-216,2.052117-207,1.029968-198,1.574757-189,3.121216-180,4.342676-175,4.800672-170,5.230382-165,5.536033-160,5.682621-155,5.646122-150,5.418776-145,5.012100-140,4.490719-135,3.856053-130,3.163930-125,2.472524-120,1.833549-115,1.284989-110,8.472896-106,5.228291-101,3.001008E-96,1.591420E-91,7.735380E-87,3.414665E-82,1.351424E-77,4.342362E-73,4.165180E-69,2.169500E-64,8.057298E-57,3.167738E-49,1.998112E-41,2.551521E-33,9.209962E-30,9.299644E-26,4.463033E-19,2.078793E-12,0.000000E+00
16073.3000,0.000000E+00,9.162878-298,1.066792-289,1.733414-281,3.556756-272,6.691541-267,8.913375-262,1.109980-256,8.989918-252,4.091790-247,2.624934-240,3.635247-232,5.268379-224,4.570863-216,2.052117-207,1.029968-198,1.574757-189,3.121216-180,4.342676-175,4.800672-170,5.230382-165,5.536033-160,5.682621-155,5.646122-150,5.418776-145,5.012100-140,4.490719-135,3.856053-130,3.163930-125,2.472524-120,1.833549-115,1.284989-110,8.472896-106,5.228291-101,3.001008E-96,1.591420E-91,7.735380E-87,3.414665E-82,1.351424E-77,4.342362E-73,4.165180E-69,2.169500E-64,8.057298E-57,3.167738E-49,1.998112E-41,2.551521E-33,9.209962E-30,9.299644E-26,4.463033E-19,2.078793E-12,0.000000E+00
16073.3500,0.000000E+00,7.872798-297,8.903744-289,1.404917-280,2.783200-271,5.156692-266,6.662232-261,8.032635-256,6.249691-251,2.863190-246,1.778310-239,2.383259-231,3.341180-223,2.802664-215,1.216169-206,5.897013-198,8.706739-189,1.659334-179,2.246762-174,2.393322-169,2.510715-164,2.556943-159,2.523545-154,2.408910-149,2.219385-144,1.969019-139,1.690696-134,1.390000-129,1.090951-124,8.146853-120,5.767093-115,3.853912-110,2.420319-105,1.420746-100,7.748076E-96,3.898620E-91,1.795605E-86,7.499877E-82,2.803696E-77,8.451819E-73,7.645689E-69,3.941920E-64,1.374247E-56,5.064740E-49,2.987734E-41,3.530260E-33,1.192398E-29,1.178782E-25,5.238132E-19,2.256878E-12,0.000000E+00
16073.4000,0.000000E+00,7.872798-297,8.903744-289,1.404917-280,2.783200-271,5.156692-266,6.662232-261,8.032635-256,6.249691-251,2.863190-246,1.778310-239,2.383259-231,3.341180-223,2.802664-215,1.216169-206,5.897013-198,8.706739-189,1.659334-179,2.246762-174,2.393322-169,2.510715-164,2.556943-159,2.523545-154,2.408910-149,2.219385-144,1.969019-139,1.690696-134,1.390000-129,1.090951-124,8.146853-120,5.767093-115,3.853912-110,2.420319-105,1.420746-100,7.748076E-96,3.898620E-91,1.795605E-86,7.499877E-82,2.803696E-77,8.451819E-73,7.645689E-69,3.941920E-64,1.374247E-56,5.064740E-49,2.987734E-41,3.530260E-33,1.192398E-29,1.178782E-25,5.238132E-19,2.256878E-12,0.000000E+00
16073.4500,0.000000E+00,6.404954-296,7.039750-288,1.079190-279,2.065219-270,3.769675-265,4.726159-260,5.519847-255,4.130121-250,1.903040-245,1.144990-238,1.485804-230,2.016187-222,1.636114-214,6.866319-206,3.218512-197,4.591936-188,8.420624-179,1.110264-173,1.140460-168,1.152812-163,1.130492-158,1.073583-153,9.853775-149,8.722430-144,7.428962-139,6.118610-134,4.820916-129,3.622839-124,2.587893-119,1.750616-114,1.116756-109,6.687696-105,3.739144-100,1.939919E-95,9.274578E-91,4.053431E-86,1.604358E-81,5.674119E-77,1.607425E-72,1.374960E-68,7.014234E-64,2.299901E-56,7.961775E-49,4.401848E-41,4.823588E-33,1.529257E-29,1.480542E-25,6.108934E-19,2.436476E-12,0.000000E+00
16073.5000,0.000000E+00,6.404954-296,7.039750-288,1.079190-279,2.065219-270,3.769675-265,4.726159-260,5.519847-255,4.130121-250,1.903040-245,1.144990-238,1.485804-230,2.016187-222,1.636114-214,6.866319-206,3.218512-197,4.591936-188,8.420624-179,1.110264-173,1.140460-168,1.152812-163,1.130492-158,1.073583-153,9.853775-149,8.722430-144,7.428962-139,6.118610-134,4.820916-129,3.622839-124,2.587893-119,1.750616-114,1.116756-109,6.687696-105,3.739144-100,1.939919E-95,9.274578E-91,4.053431E-86,1.604358E-81,5.674119E-77,1.607425E-72,1.374960E-68,7.014234E-64,2.299901E-56,7.961775E-49,4.401848E-41,4.823588E-33,1.529257E-29,1.480542E-25,6.108934E-19,2.436476E-12,0.000000E+00
16073.5500,0.000000E+00,4.948735-295,5.288435-287,7.880051-279,1.457456-269,2.621762-264,3.191293-259,3.612205-254,2.601922-249,1.204919-244,7.026543-238,8.833551-230,1.160883-221,9.118697-214,3.703290-205,1.679095-196,2.316352-187,4.089892-178,5.254225-173,5.207967-168,5.076125-163,4.796670-158,4.386408-153,3.874070-148,3.297396-143,2.698325-138,2.133539-133,1.612475-128,1.161304-123,7.942886-119,5.139750-114,3.133249-109,1.791211-104,9.550017-100,4.719389E-95,2.146612E-90,8.914623E-86,3.348409E-81,1.122027E-76,2.991827E-72,2.425728E-68,1.224033E-63,3.781678E-56,1.232010E-48,6.396557E-41,6.514411E-33,1.944118E-29,1.843815E-25,7.082035E-19,2.618262E-12,0.000000E+00
16073.6000,0.000000E+00,4.948735-295,5.288435-287,7.880051-279,1.457456-269,2.621762-264,3.191293-259,3.612205-254,2.601922-249,1.204919-244,7.026543-238,8.833551-230,1.160883-221,9.118697-214,3.703290-205,1.679095-196,2.316352-187,4.089892-178,5.254225-173,5.207967-168,5.076125-163,4.796670-158,4.386408-153,3.874070-148,3.297396-143,2.698325-138,2.133539-133,1.612475-128,1.161304-123,7.942886-119,5.139750-114,3.133249-109,1.791211-104,9.550017-100,4.719389E-95,2.146612E-90,8.914623E-86,3.348409E-81,1.122027E-76,2.991827E-72,2.425728E-68,1.224033E-63,3.781678E-56,1.232010E-48,6.396557E-41,6.514411E-33,1.944118E-29,1.843815E-25,7.082035E-19,2.618262E-12,0.000000E+00
16073.6500,0.000000E+00,3.641254-294,3.784968-286,5.484241-278,9.808349-269,1.739382-263,2.056563-258,2.257008-253,1.566643-248,7.286525-244,4.120577-237,5.021257-229,6.394149-221,4.864388-213,1.912817-204,8.394022-196,1.120334-186,1.905855-177,2.386965-172,2.284520-167,2.148499-162,1.957676-157,1.725126-152,1.467205-147,1.201697-142,9.455718-138,7.183567-133,5.212186-128,3.600759-123,2.360294-118,1.462420-113,8.528119-109,4.659102-104,2.371416E-99,1.117557E-94,4.842054E-90,1.913204E-85,6.828757E-81,2.171128E-76,5.457211E-72,4.203427E-68,2.097493E-63,6.116418E-56,1.878562E-48,9.176510E-41,8.702991E-33,2.451361E-29,2.278239E-25,8.167950E-19,2.821373E-12,0.000000E+00
16073.7000,0.000000E+00,3.641254-294,3.784968-286,5.484241-278,9.808349-269,1.739382-263,2.056563-258,2.257008-253,1.566643-248,7.286525-244,4.120577-237,5.021257-229,6.394149-221,4.864388-213,1.912817-204,8.394022-196,1.120334-186,1.905855-177,2.386965-172,2.284520-167,2.148499-162,1.957676-157,1.725126-152,1.467205-147,1.201697-142,9.455718-138,7.183567-133,5.212186-128,3.600759-123,2.360294-118,1.462420-113,8.528119-109,4.659102-104,2.371416E-99,1.117557E-94,4.842054E-90,1.913204E-85,6.828757E-81,2.171128E-76,5.457211E-72,4.203427E-68,2.097493E-63,6.116418E-56,1.878562E-48,9.176510E-41,8.702991E-33,2.451361E-29,2.278239E-25,8.167950E-19,2.821373E-12,0.000000E+00
16073.7500,0.000000E+00,2.557839-293,2.587272-285,3.646973-277,6.310040-268,1.103486-262,1.267897-257,1.349743-252,9.036738-248,4.218690-243,2.314643-236,2.735378-228,3.376981-220,2.489458-212,9.483661-204,4.030175-195,5.207127-186,8.539682-177,1.043255-171,9.647201-167,8.759842-162,7.701720-157,6.544485-152,5.363703-147,4.230462-142,3.203275-137,2.340034-132,1.631347-127,1.081966-122,6.803200-118,4.039861-113,2.255794-108,1.178932-103,5.734642E-99,2.580086E-94,1.066093E-89,4.012745E-85,1.362773E-80,4.116454E-76,9.767412E-72,7.162327E-68,3.533484E-63,9.741003E-56,2.825237E-48,1.300743E-40,1.150968E-32,3.067389E-29,2.794483E-25,9.373019E-19,3.022185E-12,0.000000E+00
16073.8000,0.000000E+00,2.557839-293,2.587272-285,3.646973-277,6.310040-268,1.103486-262,1.267897-257,1.349743-252,9.036738-248,4.218690-243,2.314643-236,2.735378-228,3.376981-220,2.489458-212,9.483661-204,4.030175-195,5.207127-186,8.539682-177,1.043255-171,9.647201-167,8.759842-162,7.701720-157,6.544485-152,5.363703-147,4.230462-142,3.203275-137,2.340034-132,1.631347-127,1.081966-122,6.803200-118,4.039861-113,2.255794-108,1.178932-103,5.734642E-99,2.580086E-94,1.066093E-89,4.012745E-85,1.362773E-80,4.116454E-76,9.767412E-72,7.162327E-68,3.533484E-63,9.741003E-56,2.825237E-48,1.300743E-40,1.150968E-32,3.067389E-29,2.794483E-25,9.373019E-19,3.022185E-12,0.000000E+00
16073.8500,0.000000E+00,1.719328-292,1.693005-284,2.322531-276,3.889384-267,6.709342-262,7.494731-257,7.742519-252,5.004451-247,2.343612-242,1.248152-235,1.431164-227,1.713787-219,1.224854-211,4.522809-203,1.862259-194,2.330507-185,3.686808-176,4.395573-171,3.929614-166,3.447211-161,2.926318-156,2.399402-151,1.896300-146,1.441303-141,1.050960-136,7.387990-132,4.952652-127,3.156132-122,1.905261-117,1.085284-112,5.808093-108,2.906610-103,1.352569E-98,5.815893E-94,2.294364E-89,8.236242E-85,2.664657E-80,7.656737E-76,1.717349E-71,1.201242E-67,5.858068E-63,1.529037E-55,4.194450E-48,1.823126E-40,1.507796E-32,3.810833E-29,3.404403E-25,1.070687E-18,3.236078E-12,0.000000E+00
16073.9000,0.000000E+00,1.719328-292,1.693005-284,2.322531-276,3.889384-267,6.709342-262,7.494731-257,7.742519-252,5.004451-247,2.343612-242,1.248152-235,1.431164-227,1.713787-219,1.224854-211,4.522809-203,1.862259-194,2.330507-185,3.686808-176,4.395573-171,3.929614-166,3.447211-161,2.926318-156,2.399402-151,1.896300-146,1.441303-141,1.050960-136,7.387990-132,4.952652-127,3.156132-122,1.905261-117,1.085284-112,5.808093-108,2.906610-103,1.352569E-98,5.815893E-94,2.294364E-89,8.236242E-85,2.664657E-80,7.656737E-76,1.717349E-71,1.201242E-67,5.858068E-63,1.529037E-55,4.194450E-48,1.823126E-40,1.507796E-32,3.810833E-29,3.404403E-25,1.070687E-18,3.236078E-12,0.000000E+00
16073.9500,0.000000E+00,1.108222-291,1.062731-283,1.419417-275,2.301664-266,3.917667-261,4.256420-256,4.268811-251,2.666041-246,1.251771-241,6.474122-235,7.205982-227,8.373825-219,5.805173-211,2.078785-202,8.297542-194,1.006297-184,1.536487-175,1.788648-170,1.546803-165,1.311698-160,1.075762-155,8.516601-151,6.494858-146,4.760340-141,3.345021-136,2.264481-131,1.460822-126,8.951751-122,5.192354-117,2.839626-112,1.457797-107,6.992293-103,3.115805E-98,1.281735E-93,4.832703E-89,1.656375E-84,5.110962E-80,1.398706E-75,2.969340E-71,1.984861E-67,9.566810E-63,2.367646E-55,6.152113E-48,2.528433E-40,1.957779E-32,4.702762E-29,4.121047E-25,1.217677E-18,3.449997E-12,0.000000E+00
