"",0.160,0.480,0.800,1.120,1.440,1.760,2.080,2.400,2.720,3.040,3.360,3.680,4.000,4.320,4.640,4.960,5.280,5.600,5.920,6.240,6.560,6.880,7.200,7.520,7.840,8.160,8.480,8.800,9.120,9.440,9.760,10.080,10.400,10.720,11.040,11.360,11.680,12.000,12.320,12.640,12.960,13.280,13.600,13.920,14.240,14.560,14.880,15.200,15.520,15.840
16071.4000,3.211495-170,2.621168-162,4.016987-158,6.495095-154,8.676321-150,4.556231-147,2.380889-144,1.221241-141,6.280855-139,3.531550-136,2.201916-132,3.879856-128,7.036126-124,1.308939-119,4.314783-115,1.510702-110,5.575025-106,7.781695-102,4.129786E-99,2.178051E-96,1.153626E-93,6.093238E-91,3.208309E-88,1.683438E-85,8.799204E-83,4.579626E-80,2.381144E-77,1.231269E-74,6.328076E-72,3.230287E-69,1.636475E-66,8.219807E-64,4.089244E-61,2.012011E-58,9.774262E-56,4.678498E-53,2.200753E-50,1.014014E-47,4.556259E-45,1.985326E-42,8.353359E-40,6.434717E-37,1.108666E-32,1.979599E-28,3.376175E-24,2.718754E-20,8.492694E-18,3.583847E-15,2.790919E-11,5.240287E-08
16071.4500,4.012545-169,3.207762-161,4.813673-157,7.617810-153,9.954040-149,5.142305-146,2.626397-143,1.316008-140,6.609800-138,3.759600-135,2.287146-131,3.930015-127,6.945889-123,1.258435-118,4.037379-114,1.374725-109,4.929588-105,6.678798-101,3.449922E-98,1.762834E-95,9.036492E-93,4.613937E-90,2.345578E-87,1.186703E-84,5.972231E-82,2.988124E-79,1.491084E-76,7.386328E-74,3.629527E-71,1.767623E-68,8.523391E-66,4.064539E-63,1.914395E-60,8.890869E-58,4.063526E-55,1.823527E-52,8.012651E-50,3.436046E-47,1.432155E-44,5.775419E-42,2.255104E-39,1.858191E-36,2.897096E-32,4.625245E-28,6.930534E-24,4.786138E-20,1.242746E-17,4.627024E-15,2.213723E-11,-1.559271E-07
16071.5000,4.012545-169,3.207762-161,4.813673-157,7.617810-153,9.954040-149,5.142305-146,2.626397-143,1.316008-140,6.609800-138,3.759600-135,2.287146-131,3.930015-127,6.945889-123,1.258435-118,4.037379-114,1.374725-109,4.929588-105,6.678798-101,3.449922E-98,1.762834E-95,9.036492E-93,4.613937E-90,2.345578E-87,1.186703E-84,5.972231E-82,2.988124E-79,1.491084E-76,7.386328E-74,3.629527E-71,1.767623E-68,8.523391E-66,4.064539E-63,1.914395E-60,8.890869E-58,4.063526E-55,1.823527E-52,8.012651E-50,3.436046E-47,1.432155E-44,5.775419E-42,2.255104E-39,1.858191E-36,2.897096E-32,4.625245E-28,6.930534E-24,4.786138E-20,1.242746E-17,4.627024E-15,2.213723E-11,-1.559271E-07
16071.5500,4.071026-168,3.188941-160,4.687719-156,7.263759-152,9.288258-148,4.722181-145,2.358374-142,1.154921-139,5.668202-137,3.253247-134,1.931852-130,3.238588-126,5.581036-122,9.852818-118,3.078231-113,1.019944-108,3.556168-104,4.679928-100,2.354675E-97,1.166713E-94,5.793600E-92,2.862565E-89,1.406624E-86,6.870537E-84,3.333854E-81,1.606099E-78,7.705476E-76,3.664077E-73,1.725404E-70,8.038026E-68,3.700415E-65,1.681245E-62,7.528012E-60,3.316023E-57,1.434014E-54,6.073889E-52,2.512852E-49,1.012204E-46,3.954681E-44,1.492400E-41,5.462305E-39,4.598353E-36,6.534402E-32,9.410911E-28,1.253780E-23,7.550313E-20,1.673019E-17,5.547285E-15,1.951647E-11,-7.126149E-08
16071.6000,4.071026-168,3.188941-160,4.687719-156,7.263759-152,9.288258-148,4.722181-145,2.358374-142,1.154921-139,5.668202-137,3.253247-134,1.931852-130,3.238588-126,5.581036-122,9.852818-118,3.078231-113,1.019944-108,3.556168-104,4.679928-100,2.354675E-97,1.166713E-94,5.793600E-92,2.862565E-89,1.406624E-86,6.870537E-84,3.333854E-81,1.606099E-78,7.705476E-76,3.664077E-73,1.725404E-70,8.038026E-68,3.700415E-65,1.681245E-62,7.528012E-60,3.316023E-57,1.434014E-54,6.073889E-52,2.512852E-49,1.012204E-46,3.954681E-44,1.492400E-41,5.462305E-39,4.598353E-36,6.534402E-32,9.410911E-28,1.253780E-23,7.550313E-20,1.673019E-17,5.547285E-15,1.951647E-11,-7.126149E-08
16071.6500,3.497889-167,2.685791-159,3.868995-155,5.872486-151,7.351639-147,3.679661-144,1.797833-141,8.608834-139,4.131051-136,2.387677-133,1.384700-129,2.265938-125,3.809582-121,6.557338-117,1.996281-112,6.441062-108,2.185247-103,2.795623E-99,1.371259E-96,6.594740E-94,3.175619E-91,1.520065E-88,7.228821E-86,3.413445E-83,1.599421E-80,7.431453E-78,3.434200E-75,1.570799E-72,7.104718E-70,3.174234E-67,1.399167E-64,6.076294E-62,2.595975E-59,1.089033E-56,4.476549E-54,1.798718E-51,7.045142E-49,2.681084E-46,9.874204E-44,3.503387E-41,1.205324E-38,1.014485E-35,1.322527E-31,1.731783E-27,2.071682E-23,1.101268E-19,2.110534E-17,6.064281E-15,1.094665E-11,-2.319461E-07
16071.7000,3.497889-167,2.685791-159,3.868995-155,5.872486-151,7.351639-147,3.679661-144,1.797833-141,8.608834-139,4.131051-136,2.387677-133,1.384700-129,2.265938-125,3.809582-121,6.557338-117,1.996281-112,6.441062-108,2.185247-103,2.795623E-99,1.371259E-96,6.594740E-94,3.175619E-91,1.520065E-88,7.228821E-86,3.413445E-83,1.599421E-80,7.431453E-78,3.434200E-75,1.570799E-72,7.104718E-70,3.174234E-67,1.399167E-64,6.076294E-62,2.595975E-59,1.089033E-56,4.476549E-54,1.798718E-51,7.045142E-49,2.681084E-46,9.874204E-44,3.503387E-41,1.205324E-38,1.014485E-35,1.322527E-31,1.731783E-27,2.071682E-23,1.101268E-19,2.110534E-17,6.064281E-15,1.094665E-11,-2.319461E-07
16071.7500,2.619636-166,1.972404-158,2.785512-154,4.143176-150,5.080123-146,2.504285-143,1.197583-140,5.610167-138,2.633785-135,1.530480-132,8.672894-129,1.386153-124,2.274944-120,3.820348-116,1.134087-111,3.565828-107,1.178095-102,1.466375E-98,7.018023E-96,3.279157E-93,1.532838E-90,7.116264E-88,3.279275E-85,1.498996E-82,6.792369E-80,3.048688E-77,1.359409E-74,5.992507E-72,2.608847E-69,1.120408E-66,4.740623E-64,1.973312E-61,8.068266E-59,3.234015E-56,1.268022E-53,4.851144E-51,1.805584E-48,6.515226E-46,2.269216E-43,7.588873E-41,2.458982E-38,2.047427E-35,2.462778E-31,2.952232E-27,3.197897E-23,1.516267E-19,2.548134E-17,6.443122E-15,7.978682E-12,-8.120351E-08
16071.8000,2.619636-166,1.972404-158,2.785512-154,4.143176-150,5.080123-146,2.504285-143,1.197583-140,5.610167-138,2.633785-135,1.530480-132,8.672894-129,1.386153-124,2.274944-120,3.820348-116,1.134087-111,3.565828-107,1.178095-102,1.466375E-98,7.018023E-96,3.279157E-93,1.532838E-90,7.116264E-88,3.279275E-85,1.498996E-82,6.792369E-80,3.048688E-77,1.359409E-74,5.992507E-72,2.608847E-69,1.120408E-66,4.740623E-64,1.973312E-61,8.068266E-59,3.234015E-56,1.268022E-53,4.851144E-51,1.805584E-48,6.515226E-46,2.269216E-43,7.588873E-41,2.458982E-38,2.047427E-35,2.462778E-31,2.952232E-27,3.197897E-23,1.516267E-19,2.548134E-17,6.443122E-15,7.978682E-12,-8.120351E-08
16071.8500,1.746312-165,1.289826-157,1.786475-153,2.605022-149,3.129836-145,1.520159-142,7.118711-140,3.264130-137,1.500113-134,8.752217-132,4.848955-128,7.573535-124,1.214094-119,1.990428-115,5.765506-111,1.767856-106,5.692233-102,6.899154E-98,3.224548E-95,1.465210E-92,6.655514E-90,3.000106E-87,1.341208E-84,5.942495E-82,2.607577E-79,1.132279E-76,4.879447E-74,2.076550E-71,8.717770E-69,3.606122E-66,1.467790E-63,5.869695E-61,2.302418E-58,8.840611E-56,3.315157E-53,1.210848E-50,4.294013E-48,1.472860E-45,4.862514E-43,1.535937E-40,4.697902E-38,3.848320E-35,4.293419E-31,4.741067E-27,4.687428E-23,2.005163E-19,3.023953E-17,7.373546E-15,1.960805E-11,3.123482E-07
16071.9000,1.746312-165,1.289826-157,1.786475-153,2.605022-149,3.129836-145,1.520159-142,7.118711-140,3.264130-137,1.500113-134,8.752217-132,4.848955-128,7.573535-124,1.214094-119,1.990428-115,5.765506-111,1.767856-106,5.692233-102,6.899154E-98,3.224548E-95,1.465210E-92,6.655514E-90,3.000106E-87,1.341208E-84,5.942495E-82,2.607577E-79,1.132279E-76,4.879447E-74,2.076550E-71,8.717770E-69,3.606122E-66,1.467790E-63,5.869695E-61,2.302418E-58,8.840611E-56,3.315157E-53,1.210848E-50,4.294013E-48,1.472860E-45,4.862514E-43,1.535937E-40,4.697902E-38,3.848320E-35,4.293419E-31,4.741067E-27,4.687428E-23,2.005163E-19,3.023953E-17,7.373546E-15,1.960805E-11,3.123482E-07
16071.9500,1.052861-164,7.631312-157,1.037036-152,1.483115-148,1.746798-144,8.362556-142,3.836624-139,1.722776-136,7.755248-134,4.537828-131,2.459278-127,3.755846-123,5.884584-119,9.424266-115,2.665495-110,7.976135-106,2.504798-101,2.958583E-97,1.351509E-94,5.977633E-92,2.641065E-89,1.157130E-86,5.024054E-84,2.160173E-81,9.190740E-79,3.866111E-76,1.612480E-73,6.635032E-71,2.690510E-68,1.073805E-65,4.212144E-63,1.621346E-60,6.113538E-58,2.253294E-55,8.098092E-53,2.829724E-50,9.581054E-48,3.130189E-45,9.814765E-43,2.934210E-40,8.493795E-38,6.825046E-35,7.096140E-31,7.260402E-27,6.601767E-23,2.576605E-19,3.560586E-17,8.694451E-15,2.781926E-11,2.198739E-07
16072.0000,1.052861-164,7.631312-157,1.037036-152,1.483115-148,1.746798-144,8.362556-142,3.836624-139,1.722776-136,7.755248-134,4.537828-131,2.459278-127,3.755846-123,5.884584-119,9.424266-115,2.665495-110,7.976135-106,2.504798-101,2.958583E-97,1.351509E-94,5.977633E-92,2.641065E-89,1.157130E-86,5.024054E-84,2.160173E-81,9.190740E-79,3.866111E-76,1.612480E-73,6.635032E-71,2.690510E-68,1.073805E-65,4.212144E-63,1.621346E-60,6.113538E-58,2.253294E-55,8.098092E-53,2.829724E-50,9.581054E-48,3.130189E-45,9.814765E-43,2.934210E-40,8.493795E-38,6.825046E-35,7.096140E-31,7.260402E-27,6.601767E-23,2.576605E-19,3.560586E-17,8.694451E-15,2.781926E-11,2.198739E-07
