t	z_ga	ga1
32737	0.230738	0.230738
32738	0.229967	0.229967
32739	0.229197	0.229197
32740	0.228426	0.228426
32741	0.227656	0.227656
32742	0.226886	0.226886
32743	0.226115	0.226115
32744	0.225345	0.225345
32745	0.224575	0.224575
32746	0.223804	0.223804
32747	0.223034	0.223034
32748	0.222264	0.222264
32749	0.221493	0.221493
32750	0.220723	0.220723
32751	0.219952	0.219952
32752	0.219182	0.219182
32753	0.218412	0.218412
32754	0.217641	0.217641
32755	0.216871	0.216871
32756	0.216101	0.216101
32757	0.215330	0.215330
32758	0.214560	0.214560
32759	0.213789	0.213789
32760	0.213019	0.213019
32761	0.212249	0.212249
32762	0.211478	0.211478
32763	0.210708	0.210708
32764	0.209272	0.209272
32765	0.207836	0.207836
32766	0.206400	0.206400
32767	0.204964	0.204964
32768	0.203528	0.203528
32769	0.202092	0.202092
32770	0.200656	0.200656
32771	0.199220	0.199220
32772	0.197784	0.197784
32773	0.196348	0.196348
32774	0.194912	0.194912
32775	0.193476	0.193476
32776	0.192040	0.192040
32777	0.190604	0.190604
32778	0.189168	0.189168
32779	0.187733	0.187733
32780	0.186297	0.186297
32781	0.184861	0.184861
32782	0.183425	0.183425
32783	0.181989	0.181989
32784	0.180553	0.180553
32785	0.179117	0.179117
32786	0.177681	0.177681
32787	0.176245	0.176245
32788	0.174809	0.174809
32789	0.173373	0.173373
32790	0.171937	0.171937
32791	0.170501	0.170501
32792	0.169065	0.169065
32793	0.167629	0.167629
32794	0.166193	0.166193
32795	0.164973	0.164973
32796	0.163753	0.163753
32797	0.162533	0.162533
32798	0.161313	0.161313
32799	0.160093	0.160093
32800	0.158873	0.158873
32801	0.157653	0.157653
32802	0.156433	0.156433
32803	0.155213	0.155213
32804	0.153993	0.153993
32805	0.152773	0.152773
32806	0.151553	0.151553
32807	0.150333	0.150333
32808	0.149113	0.149113
32809	0.147893	0.147893
32810	0.146673	0.146673
32811	0.145453	0.145453
32812	0.144233	0.144233
32813	0.143013	0.143013
32814	0.141793	0.141793
32815	0.140573	0.140573
32816	0.139353	0.139353
32817	0.138133	0.138133
32818	0.136913	0.136913
32819	0.135693	0.135693
32820	0.134473	0.134473
32821	0.133253	0.133253
32822	0.132033	0.132033
32823	0.130813	0.130813
32824	0.129593	0.129593
32825	0.131528	0.131528
32826	0.133463	0.133463
32827	0.135398	0.135398
32828	0.137333	0.137333
32829	0.139268	0.139268
32830	0.141203	0.141203
32831	0.143138	0.143138
32832	0.145072	0.145072
32833	0.147007	0.147007
32834	0.148942	0.148942
32835	0.150877	0.150877
32836	0.152812	0.152812
32837	0.154747	0.154747
32838	0.156682	0.156682
32839	0.158617	0.158617
32840	0.160552	0.160552
32841	0.162487	0.162487
32842	0.164422	0.164422
32843	0.166357	0.166357
32844	0.168292	0.168292
32845	0.170227	0.170227
32846	0.172161	0.172161
32847	0.174096	0.174096
32848	0.176031	0.176031
32849	0.177966	0.177966
32850	0.179901	0.179901
32851	0.181836	0.181836
32852	0.183771	0.183771
32853	0.185706	0.185706
32854	0.185742	0.185742
32855	0.185777	0.185777
32856	0.185813	0.185813
32857	0.185848	0.185848
32858	0.185884	0.185884
32859	0.185920	0.185920
32860	0.185955	0.185955
32861	0.185991	0.185991
32862	0.186026	0.186026
32863	0.186062	0.186062
32864	0.186098	0.186098
32865	0.186133	0.186133
32866	0.186169	0.186169
32867	0.186205	0.186205
32868	0.186240	0.186240
32869	0.186276	0.186276
32870	0.186311	0.186311
32871	0.186347	0.186347
32872	0.186383	0.186383
32873	0.186418	0.186418
32874	0.186454	0.186454
32875	0.186489	0.186489
32876	0.186525	0.186525
32877	0.186561	0.186561
32878	0.186596	0.186596
32879	0.186632	0.186632
32880	0.186668	0.186668
32881	0.186703	0.186703
32882	0.186739	0.186739
32883	0.186774	0.186774
32884	0.186810	0.186810
32885	0.186846	0.186846
32886	0.186881	0.186881
32887	0.186917	0.186917
32888	0.186952	0.186952
32889	0.186988	0.186988
32890	0.187130	0.187130
32891	0.187272	0.187272
32892	0.187415	0.187415
32893	0.187557	0.187557
32894	0.187699	0.187699
32895	0.187841	0.187841
32896	0.187983	0.187983
32897	0.188126	0.188126
32898	0.188268	0.188268
32899	0.188410	0.188410
32900	0.188552	0.188552
32901	0.188695	0.188695
32902	0.188837	0.188837
32903	0.188979	0.188979
32904	0.189121	0.189121
32905	0.189263	0.189263
32906	0.189406	0.189406
32907	0.189548	0.189548
32908	0.189690	0.189690
32909	0.189832	0.189832
32910	0.189974	0.189974
32911	0.190117	0.190117
32912	0.190259	0.190259
