t	z_ga	ga1
38585	0.313761	0.313761
38586	0.314917	0.314917
38587	0.316081	0.316081
38588	0.317254	0.317254
38589	0.318436	0.318436
38590	0.319626	0.319626
38591	0.320826	0.320826
38592	0.322034	0.322034
38593	0.323251	0.323251
38594	0.324478	0.324478
38595	0.325714	0.325714
38596	0.326960	0.326960
38597	0.328215	0.328215
38598	0.329480	0.329480
38599	0.330754	0.330754
38600	0.332039	0.332039
38601	0.333333	0.333333
38602	0.334638	0.334638
38603	0.335953	0.335953
38604	0.337278	0.337278
38605	0.338614	0.338614
38606	0.339960	0.339960
38607	0.341317	0.341317
38608	0.342685	0.342685
38609	0.344064	0.344064
38610	0.345455	0.345455
38611	0.343252	0.343252
38612	0.341077	0.341077
38613	0.338930	0.338930
38614	0.336809	0.336809
38615	0.334715	0.334715
38616	0.332647	0.332647
38617	0.330604	0.330604
38618	0.328586	0.328586
38619	0.326593	0.326593
38620	0.324623	0.324623
38621	0.322677	0.322677
38622	0.320755	0.320755
38623	0.318855	0.318855
38624	0.316977	0.316977
38625	0.315122	0.315122
38626	0.313288	0.313288
38627	0.311475	0.311475
38628	0.309684	0.309684
38629	0.307912	0.307912
38630	0.306161	0.306161
38631	0.304430	0.304430
38632	0.302718	0.302718
38633	0.301025	0.301025
38634	0.299351	0.299351
38635	0.297696	0.297696
38636	0.296059	0.296059
38637	0.294439	0.294439
38638	0.292838	0.292838
38639	0.291253	0.291253
38640	0.289686	0.289686
38641	0.288136	0.288136
38642	0.286602	0.286602
38643	0.285084	0.285084
38644	0.283582	0.283582
38645	0.279599	0.279599
38646	0.275726	0.275726
38647	0.271958	0.271958
38648	0.268293	0.268293
38649	0.264725	0.264725
38650	0.261250	0.261250
38651	0.257866	0.257866
38652	0.254568	0.254568
38653	0.251353	0.251353
38654	0.248219	0.248219
38655	0.245161	0.245161
38656	0.242178	0.242178
38657	0.239267	0.239267
38658	0.236425	0.236425
38659	0.233650	0.233650
38660	0.230939	0.230939
38661	0.228291	0.228291
38662	0.225702	0.225702
38663	0.223171	0.223171
38664	0.220697	0.220697
38665	0.218277	0.218277
38666	0.215909	0.215909
38667	0.216758	0.216758
38668	0.217615	0.217615
38669	0.218477	0.218477
38670	0.219347	0.219347
38671	0.220224	0.220224
38672	0.221108	0.221108
38673	0.221998	0.221998
38674	0.222896	0.222896
38675	0.223802	0.223802
38676	0.224715	0.224715
38677	0.225635	0.225635
38678	0.226562	0.226562
38679	0.227498	0.227498
38680	0.228441	0.228441
38681	0.229392	0.229392
38682	0.230351	0.230351
38683	0.231318	0.231318
38684	0.232293	0.232293
38685	0.233277	0.233277
38686	0.234269	0.234269
38687	0.235269	0.235269
38688	0.236278	0.236278
38689	0.237295	0.237295
38690	0.238322	0.238322
38691	0.239357	0.239357
38692	0.240401	0.240401
38693	0.241455	0.241455
38694	0.242518	0.242518
38695	0.243590	0.243590
38696	0.241586	0.241586
38697	0.239614	0.239614
38698	0.237675	0.237675
38699	0.235766	0.235766
38700	0.233888	0.233888
38701	0.232040	0.232040
38702	0.230221	0.230221
38703	0.228430	0.228430
38704	0.226667	0.226667
38705	0.224930	0.224930
38706	0.223220	0.223220
38707	0.221536	0.221536
38708	0.219877	0.219877
38709	0.218243	0.218243
38710	0.216633	0.216633
38711	0.215047	0.215047
38712	0.213483	0.213483
38713	0.211942	0.211942
38714	0.210423	0.210423
38715	0.208926	0.208926
38716	0.207450	0.207450
38717	0.205995	0.205995
38718	0.204560	0.204560
38719	0.203145	0.203145
38720	0.201749	0.201749
38721	0.200372	0.200372
38722	0.199014	0.199014
38723	0.197674	0.197674
38724	0.196353	0.196353
38725	0.195048	0.195048
38726	0.193761	0.193761
38727	0.192491	0.192491
38728	0.191237	0.191237
38729	0.190000	0.190000
38730	0.189779	0.189779
38731	0.189559	0.189559
38732	0.189340	0.189340
38733	0.189120	0.189120
38734	0.188902	0.188902
38735	0.188684	0.188684
38736	0.188466	0.188466
38737	0.188249	0.188249
38738	0.188032	0.188032
38739	0.187816	0.187816
38740	0.187600	0.187600
38741	0.187385	0.187385
38742	0.187171	0.187171
38743	0.186957	0.186957
38744	0.186743	0.186743
38745	0.186530	0.186530
38746	0.186317	0.186317
38747	0.186105	0.186105
38748	0.185893	0.185893
38749	0.185682	0.185682
38750	0.185471	0.185471
38751	0.185261	0.185261
38752	0.185051	0.185051
38753	0.184842	0.184842
38754	0.184633	0.184633
38755	0.184424	0.184424
38756	0.184216	0.184216
38757	0.184009	0.184009
38758	0.183802	0.183802
38759	0.183596	0.183596
38760	0.183389	0.183389
38761	0.183184	0.183184
38762	0.182979	0.182979
38763	0.182774	0.182774
38764	0.182570	0.182570
38765	0.182366	0.182366
38766	0.182163	0.182163
38767	0.181960	0.181960
38768	0.181758	0.181758
38769	0.181556	0.181556
38770	0.181354	0.181354
38771	0.181153	0.181153
38772	0.180952	0.180952
38773	0.183044	0.183044
38774	0.185185	0.185185
38775	0.187377	0.187377
38776	0.189621	0.189621
38777	0.191919	0.191919
38778	0.194274	0.194274
38779	0.196687	0.196687
38780	0.199161	0.199161
38781	0.201699	0.201699
38782	0.204301	0.204301
38783	0.206972	0.206972
38784	0.209713	0.209713
38785	0.212528	0.212528
38786	0.215420	0.215420
38787	0.218391	0.218391
38788	0.221445	0.221445
38789	0.224586	0.224586
38790	0.227818	0.227818
38791	0.231144	0.231144
38792	0.234568	0.234568
38793	0.237500	0.237500
38794	0.240506	0.240506
38795	0.243590	0.243590
38796	0.246753	0.246753
38797	0.250000	0.250000
38798	0.253333	0.253333
38799	0.256757	0.256757
38800	0.260274	0.260274
38801	0.263889	0.263889
38802	0.267606	0.267606
38803	0.271429	0.271429
38804	0.275362	0.275362
38805	0.279412	0.279412
38806	0.283582	0.283582
38807	0.287879	0.287879
38808	0.292308	0.292308
38809	0.296875	0.296875
38810	0.301587	0.301587
38811	0.306452	0.306452
38812	0.311475	0.311475
38813	0.316667	0.316667
38814	0.322034	0.322034
38815	0.327586	0.327586
38816	0.333333	0.333333
38817	0.339286	0.339286
38818	0.345455	0.345455
38819	0.351852	0.351852
38820	0.358491	0.358491
38821	0.365385	0.365385
38822	0.368625	0.368625
38823	0.371924	0.371924
38824	0.375282	0.375282
38825	0.378702	0.378702
38826	0.382184	0.382184
38827	0.385731	0.385731
38828	0.389344	0.389344
38829	0.393026	0.393026
38830	0.396778	0.396778
38831	0.400602	0.400602
38832	0.404501	0.404501
38833	0.408477	0.408477
38834	0.412531	0.412531
38835	0.416667	0.416667
38836	0.420886	0.420886
38837	0.425192	0.425192
