depth [m]	area [m2]
1   70000000
0	66600000
-5	61000000
-10	58300000
-15	54100000
-20	46700000
-25	33700000
-30	30300000
-35	28700000
-40	27200000
-45	25800000
-50	24700000
-55	23600000
-60	22300000
-65	20100000
-70	19900000
-75	19000000
-80	18200000
-85	17400000
-90	16600000
-95	15700000
-100	14800000
-105	13800000
-110	12600000
-115	11100000
-120	9000000
-125	6300000
-130	3400000
-135    500000
-136	0
